volume	chapter_range	focus	primary_or_authoritative_sources	presentation
I	I/01--I/06	Vector spaces, bases, linear maps, kernels, images, and isomorphisms.	Axler; Halmos; Hoffman--Kunze	reader-facing backmatter
I	I/07--I/12	Matrix representations, determinants, eigenstructure, triangularization, minimal polynomials, and canonical forms.	Hoffman--Kunze; Gantmacher	reader-facing backmatter
I	I/13--I/18	Inner products, orthogonality, the spectral theorem, quadratic forms, and singular-value decomposition.	Horn--Johnson; Golub--Van Loan; Eckart--Young	reader-facing backmatter
II	II/01--II/06	Completeness, Euclidean/normed structures, metrics, and topological foundations.	Dedekind; Cantor; Rudin	reader-facing backmatter
II	II/07--II/12	Sequences, continuity, differentiation, compactness, and convergence.	Cauchy; Weierstrass; Rudin	reader-facing backmatter
II	II/13--II/18	Integration and the transition from Riemann to measure-theoretic viewpoints.	Riemann; Lebesgue; Folland	reader-facing backmatter
II	II/19--II/25	Function spaces, convergence principles, approximation, and later real-analysis structures.	Baire; Banach; Rudin	reader-facing backmatter
III	III/01--III/08	Measure, measurable functions, integration, and convergence theorems.	Lebesgue; Radon; Folland	reader-facing backmatter
III	III/09--III/17	Fourier series/transforms, orthogonality, spectral viewpoints, and harmonic analysis.	Fourier; Plancherel; Stein--Shakarchi	reader-facing backmatter
III	III/18--III/23	Distributions, weak derivatives, convolution, and Fourier analysis of generalized functions.	Schwartz; Hörmander	reader-facing backmatter
III	III/24--III/28	Weak formulations, fundamental PDE examples, and analytic estimates.	Evans; Hörmander	reader-facing backmatter
IV	IV/01--IV/14	Holomorphicity, Cauchy theory, residues, argument principle, and branches.	Cauchy; Riemann; Ahlfors	reader-facing backmatter
IV	IV/15--IV/23	Analytic continuation, Möbius/conformal geometry, and passage to Riemann surfaces.	Weierstrass; Riemann; Forster	reader-facing backmatter
IV	IV/24--IV/31	Branched coverings, compact surfaces, lattices, elliptic functions, and elliptic curves as Riemann surfaces.	Riemann; Weierstrass; Forster; Farkas--Kra	reader-facing backmatter
V	V/01--V/14	Ideals, localization, modules, Noetherian methods, dimension, and structural commutative algebra.	Noether; Atiyah--Macdonald; Matsumura	reader-facing backmatter
V	V/15--V/21	Finiteness, primary methods, dimension, and local algebra.	Hilbert; Artin--Rees; Matsumura	reader-facing backmatter
V	V/22--V/28	Chain complexes, exactness, derived functors, Ext, Tor, and foundations of homological algebra.	Cartan--Eilenberg; Grothendieck 1957; Mac Lane	reader-facing backmatter
VI	VI/01--VI/11	Affine algebraic sets/schemes, spectra, morphisms, and field-dependent point questions.	Hilbert; Hartshorne; Stacks Project	reader-facing backmatter
VI	VI/12--VI/20	Sheaves, locally ringed spaces, scheme gluing, and quasi-coherent structures.	Serre FAC; Grothendieck--Dieudonné EGA I; Hartshorne	reader-facing backmatter
VI	VI/21--VI/38	Fiber products, base change, dimension, divisors, and scheme-theoretic constructions.	Grothendieck--Dieudonné EGA; Hartshorne; Stacks Project	reader-facing backmatter
VI	VI/39--VI/49	Cohomological and advanced geometric structures; verify exact hypotheses against authoritative modern formulations.	Serre FAC; EGA; Hartshorne; Stacks Project	reader-facing backmatter
VII	VII/01--VII/19	Smooth manifolds, bundles/forms, curves, surfaces, and classical surface geometry.	Gauss; do Carmo; Lee	reader-facing backmatter
VII	VII/20--VII/30	Riemannian/Lorentzian metrics, connections, geodesics, curvature, completeness, and global metric geometry.	Riemann; Levi-Civita; Hopf--Rinow; do Carmo; Lee	reader-facing backmatter
VII	VII/31--VII/37	Hyperbolic models, Möbius actions, Fuchsian/Kleinian groups, and boundary geometry.	Poincaré; Beardon; Ratcliffe	reader-facing backmatter
VII	VII/38--VII/39	Exact and approximate geodesics on polyhedral and triangle meshes.	Mitchell--Mount--Papadimitriou 1987; Surazhsky et al. 2005	reader-facing backmatter
VII	VII/40	The heat method for geodesic distance; DOI 10.1145/2516971.2516977.	Crane--Weischedel--Wardetzky 2013	reader-facing backmatter
VII	VII/41	Discrete differential operators and Laplace--Beltrami discretization.	Meyer et al. 2003; discrete differential-operator literature	reader-facing backmatter
VII	VII/42	Discrete curvature structures, feature lines, ridges, valleys, and numerical interpretation.	Pinkall--Polthier 1993; differential-geometry references	reader-facing backmatter
VIII	VIII/01--VIII/14	Fundamental groups, coverings, group actions, and classical homotopy foundations.	Poincaré; Hurewicz; Hatcher	reader-facing backmatter
VIII	VIII/15--VIII/27	Simplicial/singular/cellular homology, exact sequences, coefficients, and Künneth/UCT structures.	Eilenberg--Steenrod; Hatcher; Spanier	reader-facing backmatter
VIII	VIII/28--VIII/30	Cohomology, cup products, and vector bundles.	Eilenberg--Steenrod; Hatcher; Milnor--Stasheff	reader-facing backmatter
VIII	VIII/31--VIII/35	Thom classes, Euler classes, Poincaré duality, intersection forms, and Lefschetz theory.	Thom 1954; Milnor--Stasheff; Lefschetz	reader-facing backmatter
