review_family_id	parent_problem_id	source_id	source_collection	source_file	object_origin	detected_type	source_problem_number	source_heading	proposed_line_range	line_span	statement_hash	new_problem_id
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	BOLD_OBJECT_MARKER	PROBLEM		\textbf{Problem.}	L465-L483	19	7c515fa19f417e33dc4f8c0c2df46816c25302ed48313351f8b0ae2c11ef022e	IMP-DL-D27460A55B-F2R000465-7C515FA1
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	1	Example 1: Distinguished opens in \(\A^1_k\)	L1375-L1436	62	648ac441f2b157b62bbdbaca564b12331c0a7a269db90b94273c132cdf9c8380	IMP-DL-D27460A55B-F2R001375-648AC441
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	2	Example 2: The standard affine cover of \(\mathbb P^1_k\)	L1437-L1522	86	4345a5cc3dcab8863345d8d81f1fdd0f52ea304482a61d685dfef71d81c3cd91	IMP-DL-D27460A55B-F2R001437-4345A5CC
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	3	Example 3: Two standard opens in the affine plane	L1523-L1586	64	b1b7f5a9e5a6a386139d4999648709f1a0cc2e0a04d2518e1a346381099ee861	IMP-DL-D27460A55B-F2R001523-B1B7F5A9
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	4	Example 4: \(\Spec k[x]\) is integral	L1589-L1632	44	058acdc7513a03ff5aa8eed201dba5a6663936dca40323215f4dc14ddd66084a	IMP-DL-D27460A55B-F2R001589-058ACDC7
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	5	Example 5: \(\Spec k[x]/(x^2)\) is irreducible but not reduced	L1633-L1689	57	d2c0f87e354738cf0946e187aeeaf41cda2ce099e4244d580df6e168baf175af	IMP-DL-D27460A55B-F2R001633-D2C0F87E
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	6	Example 6: \(\Spec k[x,y]/(xy)\) is reduced but reducible	L1690-L1744	55	185ef964e490b6dda0c9b3b4c704507380a8125f74bd5c7eaa7790b79617bcfd	IMP-DL-D27460A55B-F2R001690-185EF964
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	7	Example 7: \(\Spec k[x,y]/(y^2-x^3)\) is integral but singular	L1745-L1783	39	f51cab616e6fe185aabc37bd682abfebd1ece5e2eab43761f2544eac3560203a	IMP-DL-D27460A55B-F2R001745-F51CAB61
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	8	Example 8: Affine space is locally Noetherian	L1786-L1812	27	858675cdb8b27b8d91171a9f585fd22e75332aa012426bfbd2d92d679562f2ce	IMP-DL-D27460A55B-F2R001786-858675CD
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	9	Example 9: Projective space is Noetherian	L1813-L1852	40	01e027f123b730fee749424fcf83b47f7d861539e341bcca2fa1ce2821797adb	IMP-DL-D27460A55B-F2R001813-01E027F1
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	10	Example 10: An infinite disjoint union of points	L1853-L1886	34	28958b9b913738a90fba62621db5efc8b74736cd76a48770f8eb367b6115b43b	IMP-DL-D27460A55B-F2R001853-28958B9B
RSF-004	IMP-DL-D27460A55B-P003	IMP-DL-D27460A55B	Downloads	Downloads/theory-of-algebraic-geometry-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	11	Example 11: A non-locally Noetherian affine scheme	L1887-L1932	46	5b8932f2be53bd5b26dfec88f1ac82a160e5b1ea39e325c1540b551ab07cc54a	IMP-DL-D27460A55B-F2R001887-5B8932F2
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	PROBLEM	4	Problem 4 Rational homology detects only the free part	L3378-L3391	14	1d9ede54da4f0c82d145d05d1ab1a8a8f21e813d0d71ac170ce885b344243365	IMP-DL-2E134BF207-F2R003378-1D9EDE54
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	1	Example 1: \(K\) is two points \((S^0)\)	L3500-L3565	66	e3d65104b5a1a5653a2772aec82de520375660f3219e2e54eccda60f0ad598c8	IMP-DL-2E134BF207-F2R003500-E3D65104
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	2	Example 2: \(K\) is one edge	L3566-L3615	50	458d8ca0b1108e3419e3c5671d7352ac8f72f622dbbcde1952496e95a1e2a628	IMP-DL-2E134BF207-F2R003566-458D8CA0
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	3	Example 3: \(K\) is the boundary of a triangle \((S^1)\)	L3616-L3703	88	2d2b41b126e4453681a8152e0c64376a81dd081ce3fed063f723310a51994880	IMP-DL-2E134BF207-F2R003616-2D2B41B1
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	4	Example 4: \(K\) is a filled triangle	L3704-L3740	37	b1f8c29e2c369d6a445d999bae31349f00a4d3067ee47c0d2f9eab1f975ef1a9	IMP-DL-2E134BF207-F2R003704-B1F8C29E
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	5	Example 5: \(K\) is the boundary of a tetrahedron \((S^2)\)	L3741-L3778	38	60860c155189bc872a13f9eedba5c5ccf04ea48c9119cc08da5bd805f98c5408	IMP-DL-2E134BF207-F2R003741-60860C15
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	1	Example 1: the circle \(S^1\)	L3901-L3913	13	46e06f5e15e2094a0e2b0a680e12bc403bf10407dc25e2b4108bba2ca7dbe84e	IMP-DL-2E134BF207-F2R003901-46E06F5E
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	2	Example 2: the \(2\)-sphere \(S^2\)	L3914-L3926	13	62edd0f887798af196a67d520ff1a6c09e1411b344e4d4a9e2775ee6518c1fb2	IMP-DL-2E134BF207-F2R003914-62EDD0F8
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	3	Example 3: the torus \(T^2\)	L3927-L3943	17	699d48c89ded9bf71aeac30559bff9fce84665e913c3d3e01f98b849933cd3b3	IMP-DL-2E134BF207-F2R003927-699D48C8
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	4	Example 4: the wedge \(S^1\vee S^1\)	L3944-L3971	28	4a01666760a5861023e5d005b8dc360a117d45c33792b6c5d8392c1baee3081f	IMP-DL-2E134BF207-F2R003944-4A016667
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	6	Example 6: a pure torsion group	L3972-L3993	22	0758db1f1384731193add92c93ec8f27fdf4a7ab15aa73366e842d9a1812b978	IMP-DL-2E134BF207-F2R003972-0758DB1F
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	7	Example 7: a mixed group \(\mathbb Z\oplus \mathbb Z/2\)	L3994-L4018	25	0206920a20addd17531e39561776672f1b302937c545a1ca0633f5460ea6c655	IMP-DL-2E134BF207-F2R003994-0206920A
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	8	Example 8: a mixed group \(\mathbb Z^2\oplus \mathbb Z/6\)	L4019-L4031	13	9ae399953a790fbb8e87bbeaa96505ba848b5b8cdd13e0bdbc460ef9626d54a4	IMP-DL-2E134BF207-F2R004019-9AE39995
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	EXPLICIT_OBJECT_HEADING	EXAMPLE	9	Example 9: a contractible complex	L4032-L4048	17	0fd42422152bd7ea2437a8b90e0c73766a8e9b4d45b47f3ced56505325ce48e1	IMP-DL-2E134BF207-F2R004032-0FD42422
RSF-008	IMP-DL-2E134BF207-P075	IMP-DL-2E134BF207	Downloads	Downloads/theory-of-algebraic-topology-5.tex	HEADING_FOLLOWED_BY_STATEMENT	PROBLEM		Triangulation and homology of real projective space	L4293-L4321	29	b51d7e2b5f53a70c0fc267d25a1de6574c36db6c4465b48806338e9055a2893c	IMP-DL-2E134BF207-F2R004293-B51D7E2B
