file	line	field_dependent_text
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	378	In $\mathbb A^1_k$, if $a\ne b$ then $V((x-a)(x-b))=\{a,b\}$.  Over an algebraically closed field the zeros are exactly the linear factors, so factorization converts directly into geometry.
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	495	Over an algebraically closed field, Hilbert's Nullstellensatz gives the deep converse
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	575	determine the same polynomial function on a finite field.
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	595	not automatically a \(k\)-rational point when \(k\neq\mathbb C\), and reducing
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/exercises.tex	111	\subsection*{Exercise VI.01.11 --- Polynomial functions over a finite field}
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p01.tex	75	\item Investigate what changes over a finite field.
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p03.tex	91	it becomes geometrically/algebraically stable.  Over an algebraically closed field,
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p03.tex	100	\item Over an algebraically closed field, combine this with Nullstellensatz to recover the
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p04.tex	61	Hence the desired equality holds after passing to the algebraically closed field.
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p06.tex	2	\subsection*{Problem VI.01.P6 --- All polynomial functions on a finite field}
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p06.tex	82	\item Compare with interpolation over an arbitrary finite subset of an infinite field.
books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/problems/p08.tex	93	\item Over an algebraically closed field, use Nullstellensatz later to show
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	136	Over an infinite field, any nonzero polynomial in one variable has only finitely many roots.  Hence an infinite subset of $\mathbb A^1_k$ is Zariski dense: the only algebraic set containing it is the whole line.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	174	Density means \(V(I(Y))=\mathbb A_k^n\).  Over an infinite field, a polynomial that
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	270	\begin{theorem}[Infinite field: cofinite topology]
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	296	\begin{proposition}[Finite field: discrete topology]
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	426	Over an infinite field, \(\det\) is a nonzero polynomial, so \cref{prop:vi02-principal-dense}
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	465	A basic Zariski open is generally huge.  In \(\mathbb A_k^1\) over an infinite field it is
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	471	infinite field.  Over a finite field the classical rational-point topology is discrete.
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	476	Zariski topology on the affine plane is not, over an infinite field, the product of the
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	525	Over an infinite field, density can be tested by the absence of nonzero polynomial
books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	530	The topology depends strongly on context.  The affine line over an infinite field is
