ID	volume	chapter	file	class	severity	evidence	proposed_action	validation	target_commit	status
R001	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	GEN_WORKED	P1	365 occurrence(s); first line 103: tic]\label{ex:iv01-worked-01} Give a rigorous worked analysis of Complex derivative. State the relevant holomorphic, contour, series, or singularity hypothesis	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v4): replace templated synthesis and exercise boilerplate with chapter-specific analysis	RESOLVED
R002	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	CENTRAL_PRINCIPLE_EXERCISE	P1	248 occurrence(s); first line 209: {exercise}\label{exr:iv01-01} State and apply the central principle behind Complex derivative. Give one concrete consequence. \end{exercise} \begin{hint} Compar	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v4): replace templated synthesis and exercise boilerplate with chapter-specific analysis	RESOLVED
R003	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	STOCK_DECISIVE_STEP	P1	365 occurrence(s); first line 103: arbitrary complex directions. The decisive step is to use the complex-analytic structure globally rather than reason from real-variable intuition alone. \end{ex	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v4): replace templated synthesis and exercise boilerplate with chapter-specific analysis	RESOLVED
R004	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	STOCK_REUSE_ENDING	P1	248 occurrence(s); first line 215: arbitrary complex directions. The same principle can then be reused in later contour, residue, conformal, or Riemann-surface arguments. \end{solution} \begin{e	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v4): replace templated synthesis and exercise boilerplate with chapter-specific analysis	RESOLVED
R005	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	STOCK_CHAPTER_STRATEGY	P1	31 occurrence(s); first line 202: quickly leads to analyticity. The reusable strategy is to identify the analytic domain, choose the correct local expansion or contour representation, apply the	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v4): replace templated synthesis and exercise boilerplate with chapter-specific analysis	RESOLVED
R006	IV	multiple	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	INTERNAL_MARKERS	P2	279 marker comment(s); first line 23: % BEGIN VOL04-EXPANSION IV01-example-01	classify against active QA/build consumers before removal	obsolete-marker gate after dedicated cleanup	chore(editorial): classify and remove obsolete reconstruction markers from volumes IV-VII	OPEN
R007	IV	all	books/vol04_complex_analysis/book.tex	BUILD_LAYOUT_AUDIT	P2	status=PASS; overfull=31; underfull=0; undefined=0	review meaningful warnings/visible defects only; do not mass-restyle	clean or explicitly documented final volume build	style(v4): layout cleanup if needed	OPEN
R008	V	multiple	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	GEN_WORKED	P1	336 occurrence(s); first line 86: stic]\label{ex:v01-worked-01} Give a rigorous worked analysis of Commutative rings. State the ring, module, finiteness, localization, or homological hypotheses	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v5): replace generic diagnostic and exercise boilerplate with chapter-specific algebra	RESOLVED
R009	V	multiple	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	CENTRAL_PRINCIPLE_EXERCISE	P1	224 occurrence(s); first line 191: n{exercise}\label{exr:v01-01} State and apply the central principle behind Commutative rings. Give one concrete algebraic consequence. \end{exercise} \begin{hin	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v5): replace generic diagnostic and exercise boilerplate with chapter-specific algebra	RESOLVED
R010	V	multiple	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	STOCK_DECISIVE_STEP	P1	336 occurrence(s); first line 86: d commutative multiplication. The decisive step is to use the universal property, exactness criterion, localization test, or finite-generation mechanism appropr	replace or review chapter-by-chapter; preserve labels and theorem text	phrase count materially reduced; affected volume builds	refactor(v5): replace generic diagnostic and exercise boilerplate with chapter-specific algebra	RESOLVED
