finding_type	volume	page	overfull_pt	severity	source_file	line_start	context_kind	context_preview	classification	repair_action
LOW_TEXT_PAGE	I	8		REVIEW			STRUCTURAL_PAGE	Part I Vector Spaces 1	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	II	64		REVIEW			STRUCTURAL_PAGE	Part II Calculus 55	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	VI	205		REVIEW			STRUCTURAL_PAGE	Part III Sheaves 184	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	VI	477		REVIEW			STRUCTURAL_PAGE	Part VI Dimension 456	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	VII	2		REVIEW			STRUCTURAL_PAGE		LIKELY_INTENTIONAL_FRONTMATTER_VERSO	retain; human glance only
LOW_TEXT_PAGE	VII	18		REVIEW			STRUCTURAL_PAGE	Contents xvi	LIKELY_INTENTIONAL_DIVIDER_OR_BLANK	retain; human glance only
LOW_TEXT_PAGE	VIII	2		REVIEW			STRUCTURAL_PAGE		LIKELY_INTENTIONAL_FRONTMATTER_VERSO	retain; human glance only
LOW_TEXT_PAGE	VIII	21		REVIEW			STRUCTURAL_PAGE	Part I Homotopy 1	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	VIII	69		REVIEW			STRUCTURAL_PAGE	Part II CW Complexes 49	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
LOW_TEXT_PAGE	VIII	200		REVIEW			STRUCTURAL_PAGE	Part IV Homology 180	LIKELY_INTENTIONAL_STRUCTURAL_DIVIDER	retain; human glance only
OVERFULL_HBOX	I		61.01164	HIGH	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	213	PROSE_WITH_INLINE_MATH	\begin{problem}[Solving a dependence relation]\label{prob:i02-dossier-11} Find a nontrivial relation among $(1,1,0),(0,1,1),(1,0,-1)$. \end{problem}	CONFIRMED_MAJOR_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	II		23.47119	HIGH	books/vol02_real_analysis/chapters/ch09_inverse_and_implicit_function_principles/chapter.tex	125	PROSE_WITH_INLINE_MATH	\begin{theorem}[Derivative of inverse]\label{thm:ii09-02} Under the hypotheses of the inverse theorem, $D(f^{-1})(f(a))=Df(a)^{-1}$. \begin{proof}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	II		85.94884	HIGH	books/vol02_real_analysis/chapters/ch21_polynomial_approximation/chapter.tex	441	PROSE_OR_UNKNOWN	\begin{hint} They replace a function by finitely many coefficients and support fast evaluation/differentiation/integration. \end{hint}	CONFIRMED_MAJOR_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	III		22.67949	HIGH	books/vol03_fourier_distributions_pde/chapters/ch25_green_functions/chapter.tex	301	PROSE_OR_UNKNOWN	\begin{hint} Distinguish Dirichlet, Neumann, and periodic Green functions by the boundary/compatibility conditions they satisfy. \end{hint}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	III		35.98027	HIGH	books/vol03_fourier_distributions_pde/chapters/ch28_spectral_and_transform_methods_for_pde/chapter.tex	480	PROSE_OR_UNKNOWN	\begin{solution} The scalar multipliers multiply: exp(-t lambda\_k)exp(-s lambda\_k)=exp(-(t+s)lambda\_k). \end{solution}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	IV		23.55264	HIGH	books/vol04_complex_analysis/chapters/ch04_complex_integration/chapter.tex	219	PROSE_WITH_INLINE_MATH	\begin{hint} Parameterize each smooth contour segment \(z=\gamma(t)\) and convert \(\int_\Gamma f(z)dz\) to \(\int f(\gamma(t))\gamma'(t)dt\). \end{hint}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	IV		39.44444	HIGH	books/vol04_complex_analysis/chapters/ch18_schwarz_christoffel_transformations/chapter.tex	88	PROSE_OR_UNKNOWN	\begin{theorem}[Affine freedom]\label{thm:iv18-03} Once the prevertices and exponents are fixed, two Schwarz–Christoffel maps with the same derivative factors differ by a nonzero multiplicative constant and an additive constant. \begin{proo	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		25.0039	HIGH	books/vol06_algebraic_geometry/chapters/ch18_affine_schemes/problems/p15.tex	64	PROSE_OR_UNKNOWN		CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		25.0039	HIGH	books/vol06_algebraic_geometry/chapters/ch18_affine_schemes/problems/p16.tex	43	DISPLAY_MATH	The chain \[ (0)\subset(p)\subset(p,t-a)	CONFIRMED_OVERFULL	retain for targeted human math-layout review
OVERFULL_HBOX	VI		22.45241	HIGH	books/vol06_algebraic_geometry/chapters/ch26_finite_type_noetherian_morphisms/challenges/challenge_04.tex	2	PROSE_WITH_INLINE_MATH	\begin{problem}[Challenge 4: Noetherian family over arithmetic base]\label{chal:vi26-04} Let $X=\Spec \mathbb Z[x,y]/(y^2-x^3-x)$. Prove $X\to\Spec\mathbb Z$ finite type and $X$ Noetherian. Describe why every fiber is finite type without an	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		20.4648	HIGH	books/vol06_algebraic_geometry/chapters/ch30_dimension_of_schemes/challenges/challenge_05.tex	2	PROSE_OR_UNKNOWN	\begin{problem}[Challenge VI.30.C5: Build a hypothesis map]\label{chall:vi30-05} Create a theorem/counterexample table for the statements: open subsets preserve dimension; proper closed subsets lower dimension; normalization preserves dimen	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		20.76234	HIGH	books/vol06_algebraic_geometry/chapters/ch37_projective_schemes/problems/problem_11.tex	3	PROSE_WITH_INLINE_MATH	\begin{problem}[VI.37.P11: Same Proj, different graded rings]\label{prob:vi37-11} Let \(A=k[x_0,x_1,z]/(z^2,x_0z,x_1z)\). Prove \(\Proj A\cong\mathbb P^1_k\). \end{problem}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		23.77399	HIGH	books/vol06_algebraic_geometry/chapters/ch38_projective_morphisms_and_closed_embeddings/examples.tex	23	PROSE_WITH_INLINE_MATH	\begin{example}[A hyperplane closed immersion]\label{ex:vi38-06} The quotient \(k[x_0,\ldots,x_n]\twoheadrightarrow k[x_0,\ldots,x_n]/(x_n)\) gives \(\mathbb P^{n-1}\hookrightarrow\mathbb P^n\) as the hyperplane \(x_n=0\). \end{example}	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VI		29.45859	HIGH	books/vol06_algebraic_geometry/chapters/ch41_divisor_class_groups/figures/figure_07.tex	836	PROSE_OR_UNKNOWN		CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VII		49.04295	HIGH	books/vol07_differential_geometry/chapters/ch10_orientation_and_integration/chapter.tex	8	DISPLAY_MATH	\int_M\omega=\text{coordinate integrals glued by a partition of unity}.} \]	CONFIRMED_MAJOR_OVERFULL	retain for targeted human math-layout review
OVERFULL_HBOX	VII		26.70024	HIGH	books/vol07_differential_geometry/chapters/ch13_frenet_frames_curvature_and_torsion/pedagogy_expansion.tex	6	DISPLAY_MATH	\begin{example}[Frenet frame of a circle]\label{ex:vii13-ped-01} For the unit-speed circle \(\gamma(s)=R(\cos(s/R),\sin(s/R),0)\), \[	CONFIRMED_OVERFULL	retain for targeted human math-layout review
OVERFULL_HBOX	VII		29.13171	HIGH	books/vol07_differential_geometry/chapters/ch16_the_gauss_map_and_shape_operator/chapter.tex	403	PROSE_WITH_INLINE_MATH	\begin{solution} One gets \(e=-\langle N_u,X_u angle\), \(f=-\langle N_u,X_v	CONFIRMED_OVERFULL	shared emergency paragraph stretch
OVERFULL_HBOX	VIII		187.04073	HIGH	books/vol08_algebraic_topology/chapters/ch35_lefschetz_theory/chapter.tex	168	DISPLAY_MATH	\text{fixed-point theory}. \]	CONFIRMED_EXTREME_OVERFULL	retain for targeted human math-layout review
