volume	location	topic	hypotheses_or_convention	negative_test	reference	status
IV	IV/14--IV/15	branches/logarithm	branch domain and chosen argument	changing branch changes powers/logarithms	Ahlfors; Forster	CONVENTION_FIXED
IV	IV/04--IV/13	contour orientation/residue	positive orientation and winding-number sign	orientation reversal changes signs	Ahlfors	CONVENTION_FIXED
IV	IV/24--IV/31	compactification/genus/elliptic normalization	compact Riemann surface and full lattice assumptions where used	dropping compactness/full lattice changes theorem	Forster; Farkas--Kra	AUDIT_GATED
V	V/22--V/28	complex grading	homological differential degree -1; cohomological degree +1	wrong grading reverses connecting-map signs	Cartan--Eilenberg; Mac Lane	CONVENTION_FIXED
V	V/09--V/28	module sidedness	left modules unless commutative context suppresses distinction	noncommutative tensor/Hom formulas can fail	Cartan--Eilenberg	CONVENTION_FIXED
VI	VI/01--VI/11	base-field dependence	state algebraically closed/infinite/finite/arbitrary field hypotheses	finite/nonclosed fields change point/maximal-ideal claims	Hartshorne; Stacks Project	NEGATIVE_TEST_REQUIRED
VI	VI/12--VI/17	sheaf epimorphism	categorical/stalkwise surjectivity, not sectionwise surjectivity	global/open-section surjectivity can fail	Stacks Project	CONVENTION_FIXED
VI	VI/18--VI/49	qc/coherent/cohomology hypotheses	record qcqs/Noetherian/proper/flat hypotheses theorem-by-theorem	dropping finiteness/separation hypotheses can break conclusions	EGA; Hartshorne; Stacks Project	AUDIT_GATED
VII	VII/20--VII/30	curvature/sign convention	R(X,Y)Z convention fixed series-wide	opposite convention flips curvature tensors/signs	do Carmo; Lee	CONVENTION_FIXED
VII	VII/23	Hopf--Rinow	connected Riemannian manifold; metric/geodesic completeness equivalence	without completeness global minimizers need not exist	Hopf--Rinow; do Carmo; Lee	FIXED
VII	VII/38--VII/42	numerical assumptions	state boundary, mesh regularity, discretization and tolerance assumptions	poor meshes/boundaries can invalidate convergence claims	primary computational references	AUDIT_GATED
