id	chapter	theorem	status	domain_hypotheses	measure_hypotheses	exponent_hypotheses	sign_or_operator_hypotheses	dependencies	audit_note
thm:iii01-02	III/01	Continuity from above	proved	measurable decreasing sets	finite measure at E_1 (or a tail stage)			continuity from below	finite-mass hypothesis explicit
thm:iii04-01	III/04	Monotone convergence theorem	proved		nonnegative measurable; monotone increase			simple approximation; continuity from below	infinite limiting integral permitted
thm:iii04-02	III/04	Fatou lemma	proved		nonnegative measurable sequence			monotone convergence	nonnegativity explicit
thm:iii04-03	III/04	Dominated convergence theorem	proved		a.e. convergence; one integrable dominator			Fatou lemma	dominator is in L1
thm:iii05-01	III/05	Tonelli theorem	proof-sketch	product measurable space	sigma-finite factors; f nonnegative measurable			product measure construction; MCT	infinite values permitted
thm:iii05-02	III/05	Fubini theorem	proved	product measurable space	f in L1(mu x nu); sigma-finite setting			Tonelli applied to |f|	absolute integrability controls order exchange
thm:iii08-01	III/08	Egorov theorem	proved		mu(X)<infinity; a.e. convergence			continuity from above	finite-measure hypothesis indispensable
thm:iii08-03	III/08	Vitali convergence principle	proved		finite measure; convergence in measure; uniform integrability			subsequence extraction; Fatou	uniform integrability assumptions explicit
thm:iii21-02	III/21	Poincare inequality	proved	bounded Lipschitz domain		1 <= p <= infinity		zero-extension; FTOC; Holder	stated domain assumptions are safe
iii21-embedding	III/21	Sobolev embeddings	deferred	bounded Lipschitz domain		1<=p<n; p=n>1; n<p<infinity		Sobolev/Morrey theory	full proof explicitly deferred; exponent cases separated
iii21-rellich	III/21	Rellich compactness	deferred	bounded Lipschitz domain		1<=p<n with q<p*; n<=p<infinity finite q		Rellich-Kondrachov	compact targets exclude critical endpoint
thm:iii23-01	III/23	Lax--Milgram theorem	proved	real Hilbert space			bounded and coercive bilinear form	Riesz representation	F in V* explicit
iii23-dirichlet	III/23	Dirichlet weak elliptic problem	application	bounded Lipschitz domain			A uniformly positive definite; c>=0	Poincare; Lax--Milgram	weak solution only; no automatic C2 claim
thm:iii27-01	III/27	Weak maximum principle	proved	bounded domain; u in C2(Omega) cap C(cl Omega)			A symmetric uniformly elliptic; real bounded continuous coefficients; c<=0; Lu>=0	barrier perturbation	positive-principal-sign convention
thm:iii27-02	III/27	Comparison principle	proved	same as weak maximum principle			Lu>=Lv; u<=v on boundary	weak maximum principle	operator inequality audited
iii27-strong	III/27	Strong maximum principle	deferred	connected domain; classical regularity			same ellipticity/sign assumptions	standard strong maximum principle	attained-maximum qualification recorded
