source_file	source_family	source_block_id	block_kind	source_selector	source_title_or_pattern	destination	destination_title	action	precedence	coverage_rule	canonical_source	notes	audit_status
commalg6_report_structure_template.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	entire file	report structure template	ARCHIVE_TEMPLATE	Archive — template/non-content	ARCHIVE_TEMPLATE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
commalg6_report_structure_template.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	ARCHIVE_TEMPLATE	Archive — template/non-content	ARCHIVE_TEMPLATE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
commalg6_report_structure_template_1_.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	entire file	report structure template copy	ARCHIVE_DUPLICATE	Archive — duplicate	ARCHIVE_DUPLICATE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
commalg6_report_structure_template_1_.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	ARCHIVE_DUPLICATE	Archive — duplicate	ARCHIVE_DUPLICATE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
diagrams_01-13_tikz.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Problem 1|Problem 2|Problem 3|Problem 4|Problem 5|Problem 6	Problems 1-6 complex-plane diagrams	IV/01	Complex Differentiability	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
diagrams_01-13_tikz.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Problem 7|Problem 8|Problem 9|Problem 10|Problem 11|Problem 12|Problem 13	Problems 7-13 vector/geometry diagrams	I/01	Scalars, Vectors and Linear Combinations	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
diagrams_01-13_tikz.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	IV/01	Complex Differentiability	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
ex38g_ex39.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Takagi|Exercise 38|Exercise 39	Takagi/pathological function exercise	II/15	Pathological and Nowhere-Differentiable Functions	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
ex38g_ex39.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/15	Pathological and Nowhere-Differentiable Functions	MIGRATE_EXERCISE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
ex3_8_takagi.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Takagi|nowhere differentiable	Takagi function exercise	II/15	Pathological and Nowhere-Differentiable Functions	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
ex3_8_takagi.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/15	Pathological and Nowhere-Differentiable Functions	MIGRATE_EXERCISE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
Exercise_1_2_append--math-alls-2.tex	SUPPORT	ARCHIVE.ALL	ENTIRE_FILE	*	all blocks	ARCHIVE_DUPLICATE	Archive — duplicate	ARCHIVE_DUPLICATE	1000	WHOLE_FILE	NO	Preserve for provenance/diff only. Preferred comparison source: Exercise_1_2_append.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
Exercise_1_2_append.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	subsection* Exercise 1.2|periodic Green	Exercise 1.2 periodic Green function	III/26	Sturm–Liouville Green Kernels	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
Exercise_1_2_append.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	III/26	Sturm–Liouville Green Kernels	MIGRATE_EXERCISE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
exercise_4_solutions_1_.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Definitions and Examples|Supremum|Infimum	supremum/infimum definitions	II/01	The Real Number System and Completeness	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
exercise_4_solutions_1_.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Partitions|Upper and Lower Sums|Integrability	Riemann upper/lower sums	II/10	Riemann Integration	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
exercise_4_solutions_1_.tex	SUPPORT	S03	SUPPORT_OR_EXERCISE	Exercise 4.1	Exercise 4.1	II/01	The Real Number System and Completeness	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
exercise_4_solutions_1_.tex	SUPPORT	S04	SUPPORT_OR_EXERCISE	Exercise 4.2|Exercise 4.3|Exercise 4.4	Exercises 4.2-4.4	II/10	Riemann Integration	MIGRATE_EXERCISE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
exercise_4_solutions_1_.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/01	The Real Number System and Completeness	MIGRATE_EXERCISE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
interpolation--math-alls-2.tex	SUPPORT	ARCHIVE.ALL	ENTIRE_FILE	*	all blocks	ARCHIVE_VARIANT	Archive — provenance variant	ARCHIVE_VARIANT	1000	WHOLE_FILE	NO	Preserve for provenance/diff only. Preferred comparison source: interpolation.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
interpolation.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	interpolation|nodes|error	interpolation figure/example	II/20	Polynomial Interpolation	SUPPORT_FIGURE	100	EXPLICIT_SELECTOR	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/20	Polynomial Interpolation	SUPPORT_FIGURE	10	FILE_FALLBACK	SUPPORT	Keep with mapped chapter assets/exercises unless an explicit selector overrides.	COVERED_BY_FALLBACK
