source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Gamma function|\Gamma	Gamma function	IV/19	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv19-dossier-01
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Gamma function|\Gamma)	problem|exercise|solution|worked problem	IV/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv19-dossier-02
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Gamma function|\Gamma)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv19-dossier-03
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/19	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	Beta function|Beta-Gamma|digamma	Beta Gamma identities	IV/20	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv20-dossier-01
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Beta function|Beta-Gamma|digamma)	problem|exercise|solution|worked problem	IV/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv20-dossier-02
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Beta function|Beta-Gamma|digamma)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv20-dossier-03
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	keyhole|branch cut|Hankel contour	keyhole contours	IV/21	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv21-dossier-01
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(keyhole|branch cut|Hankel contour)	problem|exercise|solution|worked problem	IV/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv21-dossier-02
theory-of-complex-analysis-gamma.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(keyhole|branch cut|Hankel contour)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv21-dossier-03
