long_review_family_id	representative_problem_id	representative_source_file	member_count	source_line_range	line_span	source_heading	broad_solution_markers	statement_headings	implicit_object_candidates	exposition_headings	post_solution_exposition_headings	proposed_editorial_action	proposal_confidence	rationale
LCR-001	IMP-DL-E4D9F7AB6B-PSR002969-8AAD2D5B	Downloads/theory-of-algebraic-topology-13.tex	1	L2969-L4914	1946		0	1	1	5	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-002	IMP-DL-31FF76D7B8-PSR001082-9BF02932	Downloads/theory-of-algebraic-topology-16.tex	1	L1082-L2632	1551		1	0	0	3	3	TRIM_POST_SOLUTION_EXPOSITION_REVIEW	MEDIUM	The object contains a solution/proof marker followed by substantial theory/examples/summary material; review whether that tail belongs to the problem object.
LCR-003	IMP-DL-14663C23F1-PSR001722-887B100D	Downloads/theory-of-geometry-III.tex	2	L1722-L3223	1502		3	0	1	4	4	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-004	IMP-DL-31FF76D7B8-PSR002633-56FF06A5	Downloads/theory-of-algebraic-topology-16.tex	1	L2633-L3736	1104		1	0	1	5	3	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-005	IMP-DL-067214B351-PSR002585-3EA19431	Downloads/theory-of-algebraic-topology-15.tex	1	L2585-L3603	1019		1	0	0	2	2	TRIM_POST_SOLUTION_EXPOSITION_REVIEW	MEDIUM	The object contains a solution/proof marker followed by substantial theory/examples/summary material; review whether that tail belongs to the problem object.
LCR-006	IMP-DL-067214B351-PSR000338-34B483DA	Downloads/theory-of-algebraic-topology-15.tex	1	L338-L1227	890		1	0	1	3	3	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-007	IMP-DL-721195CCB5-PSR001753-8BBBA0F3	Downloads/theory-of-algebraic-geometry-11.tex	1	L1753-L2613	861		0	0	1	1	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-008	IMP-DL-A99C7658F3-PSR000352-C80D6834	Downloads/theory-of-algebraic-geometry-2.tex	1	L352-L1174	823		0	0	1	1	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-009	IMP-DL-D6E9B3BC73-PSR002190-D8475E88	Downloads/theory-of-algebraic-topology-1.tex	2	L2190-L2942	753		2	0	1	5	3	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
LCR-011	IMP-DL-A5CEE6E541-PSR003295-358153B1	Downloads/theory-of-algebraic-geometry-8.tex	1	L3295-L3962	668		0	0	1	3	0	RESEGMENT_NONSTANDARD_BOUNDARY	HIGH	A heading inside the long object appears to introduce another problem/statement structure.
