path	proposed_action	final_action	artifact_class	reason
imports/problem_inventory/COMPANION_STATEMENT_CANDIDATE_RANKINGS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/COMPANION_STATEMENT_RECOVERY_DECISIONS.tsv	KEEP_STAGE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/COMPANION_STATEMENT_RECOVERY_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/COMPANION_STATEMENT_RECOVERY_SUMMARY.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_LONG_CHILD_RECONCILIATION_CHANGES.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_LONG_CHILD_RECONCILIATION_SUMMARY.md	KEEP_STAGE	KEEP_STAGE	canonical_final_certification	Named final audit/certification record.
imports/problem_inventory/FINAL_LONG_CHILD_REMAINING_FLAGS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_STRUCTURAL_CLOSURE_SUMMARY.md	KEEP_STAGE	KEEP_STAGE	canonical_final_certification	Named final audit/certification record.
imports/problem_inventory/FINAL_STRUCTURAL_CLOSURES.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_STRUCTURAL_RETAINED_FAMILIES.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_TWO_REPAIR_LINK_REVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_TWO_REPAIR_OBJECTS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_TWO_REPAIR_PLAN.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_TWO_REPAIR_SUMMARY.md	KEEP_STAGE	KEEP_STAGE	canonical_final_certification	Named final audit/certification record.
imports/problem_inventory/FINAL_TWO_REPAIR_SUPERSEDED_PREVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_TWO_REPAIR_SUPERSEDED_ROWS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/FINAL_TWO_RESIDUAL_AUDIT_PACKET.md	KEEP_STAGE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_TWO_RESIDUAL_AUDIT_SUMMARY.md	KEEP_STAGE	KEEP_STAGE	canonical_final_certification	Named final audit/certification record.
imports/problem_inventory/FINAL_TWO_RESIDUAL_BOUNDARY_CANDIDATES.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/FINAL_TWO_RESIDUAL_REGIONS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/KNOWN_STRUCTURAL_RESCAN_PREVIEW.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/KNOWN_STRUCTURAL_RESCAN_PREVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/LONG_CHILD_FINAL_DECISION_PACKET.md	KEEP_STAGE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/LONG_CHILD_FINAL_DECISION_SUMMARY.md	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/LONG_CHILD_FINAL_DECISIONS.tsv	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/LONG_CHILD_FINAL_RETAINED_DECISIONS.tsv	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/LONG_CHILD_HIGH_CONF_CLOSURE_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_HIGH_CONF_CLOSURES.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_RETAINED_TARGETED_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/LONG_CHILD_RETAINED_TARGETED_REVIEW.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_RETAINED_TARGETED_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_REVIEW_AUDIT.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_REVIEW_DISPOSITION_SUMMARY.md	REVIEW	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/LONG_CHILD_REVIEW_DISPOSITIONS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/LONG_CHILD_REVIEW_PACKET.md	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/LONG_CHILD_REVIEW_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_REVIEW_UNRESOLVED.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_UNRESOLVED_FAMILIES.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_UNRESOLVED_FAMILY_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/LONG_CHILD_UNRESOLVED_REPRESENTATIVE_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MERGED_SOFT_PROMOTION_LINK_REVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MERGED_SOFT_PROMOTION_PLAN.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MERGED_SOFT_PROMOTION_SUMMARY.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MERGED_SOFT_PROMOTION_SUPERSEDED_PREVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MERGED_SOFT_PROMOTION_SUPERSEDED_ROWS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MISSING_COMPANION_STATEMENT_PLAN.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MISSING_COMPANION_STATEMENT_PLAN.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/MISSING_COMPANION_STATEMENT_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/MISSING_COMPANION_STATEMENTS.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/NONPROBLEM_SOLUTION_BLOCKS.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/NUMBERING_SHIFT_APPLICATION.tsv	REVIEW	KEEP_STAGE	canonical_record	Durable reconciliation provenance: disposition/applied repair/current status/semantic state/final certification.
imports/problem_inventory/ORPHAN_CANDIDATE_RANKINGS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_PRIORITY_RECONCILIATION.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/ORPHAN_PRIORITY_RECONCILIATION_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_PRIORITY_RECONCILIATION_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/ORPHAN_REVIEW_DECISIONS.tsv	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/ORPHAN_REVIEW_PACKETS.md	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_REVIEW_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/ORPHAN_SEMANTIC_CANDIDATE_RANKINGS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_REFRESH_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_REFRESH_RANKINGS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_REFRESH_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/ORPHAN_SEMANTIC_REFRESH_TRIAGE.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_REVIEW_DECISIONS.tsv	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/ORPHAN_SEMANTIC_REVIEW_PACKETS.md	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_REVIEW_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_FINAL_TWO_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_MERGED_SOFT_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_P1_CARRYFORWARD_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_P2_P3_RESOLUTION_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PARTIAL_STRICT_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_POST_REPAIR_STRICT_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_FINAL_TWO_REPAIR.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_MERGED_SOFT_PROMOTION.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_P1_CARRYFORWARD.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_P2_P3_EDITORIAL_RESOLUTION.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_PARTIAL_STRICT_PROMOTION.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_POST_REPAIR_STRICT_PROMOTION.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_REVIEW_SPLIT_PROMOTION.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_PRE_SAFE_STRUCTURAL_SPLIT.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_REVIEW_PROMOTION_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/ORPHAN_SEMANTIC_UNITS_SAFE_SPLIT_SHADOW.tsv	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/P1_ORPHAN_CARRYFORWARD_DECISIONS.tsv	KEEP_STAGE	KEEP_STAGE	canonical_decision_record	Explicit decision/override/exception/disposition record; preserve non-reconstructible editorial judgement.
imports/problem_inventory/P1_ORPHAN_CARRYFORWARD_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/P1_ORPHAN_TARGET_REMAP_REVIEW.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/P2_P3_ORPHAN_REVIEW_PACKET.md	REMOVE_IGNORE	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/P2_P3_ORPHAN_REVIEW_QUEUE.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/PARTIAL_STRICT_INELIGIBLE_REVIEW_FAMILIES.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/PARTIAL_STRICT_PROMOTION_LINK_REVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/PARTIAL_STRICT_PROMOTION_PLAN.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/PARTIAL_STRICT_PROMOTION_SUMMARY.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/PARTIAL_STRICT_PROMOTION_SUPERSEDED_PREVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/PARTIAL_STRICT_PROMOTION_SUPERSEDED_ROWS.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/POST_REPAIR_DANGLING_LINKS.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_INSUFFICIENT_SHORT_CONTEXT.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_NESTED_BOUNDARY_CONTEXT_PACKET.md	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/POST_REPAIR_NESTED_BOUNDARY_CONTEXT_SUMMARY.md	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_NESTED_OBJECT_BOUNDARY_CONTEXT.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_STRICT_INSUFFICIENT_AUDIT.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_STRICT_LONG_OBJECT_AUDIT.tsv	REVIEW	REMOVE_IGNORE	superseded_or_reproducible	Not a durable decision/current final state; superseded or reproducible from canonical ledgers and scripts.
imports/problem_inventory/POST_REPAIR_STRICT_PROMOTION_LINK_REVIEW.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
imports/problem_inventory/POST_REPAIR_STRICT_PROMOTION_PLAN.tsv	REVIEW	REMOVE_IGNORE	transient_working_artifact	Superseded working material (preview/packet/candidate/ranking/plan/review queue or intermediate state); final records carry the provenance.
