chapter_code	source_file	source_block_id	block_kind	source_selector	source_title_or_pattern	action	precedence	legacy_source_exists	canonical_target	disposition
I/01	diagrams_01-13_tikz.tex	S02	SUPPORT_OR_EXERCISE	Problem 7|Problem 8|Problem 9|Problem 10|Problem 11|Problem 12|Problem 13	Problems 7-13 vector/geometry diagrams	SUPPORT_FIGURE	100	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-differential-geometry-3.tex	T01.SECTION	SECTION_OR_SUBSECTION	vector space|linear map|basis|eigen	mislabelled linear algebra	RECLASSIFY_AND_MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-differential-geometry-3.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(vector space|linear map|basis|eigen)	problem|exercise|solution|worked problem	RECLASSIFY_AND_MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-differential-geometry-3.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(vector space|linear map|basis|eigen)	definition|theorem|lemma|proposition|corollary|remark|warning|example	RECLASSIFY_AND_MIGRATE	90	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-differential-geometry-3.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	RECLASSIFY_AND_MIGRATE	10	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/08	theory-of-linear-algebra-1.tex	OVR.I_08.SECTION	SECTION_OR_SUBSECTION	determinant|trace|oriented volume|volume scaling	determinants, trace, and determinant-as-volume material	MIGRATE	110	YES	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/08	theory-of-linear-algebra-1.tex	OVR.I_08.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(determinant|trace|oriented volume|volume scaling)	problem|exercise|solution|worked problem	MIGRATE	105	YES	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/08	theory-of-linear-algebra-1.tex	OVR.I_08.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(determinant|trace|oriented volume|volume scaling)	definition|theorem|lemma|proposition|corollary|remark|warning|example	MIGRATE	105	YES	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/01	theory-of-linear-algebra-1.tex	T01.SECTION	SECTION_OR_SUBSECTION	vector|linear combination|vector space	linear combinations and vector spaces	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/02	theory-of-linear-algebra-1.tex	T02.SECTION	SECTION_OR_SUBSECTION	subspace|span|linear independence	subspaces span independence	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/03	theory-of-linear-algebra-1.tex	T03.SECTION	SECTION_OR_SUBSECTION	basis|bases|dimension	bases and dimension	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/04	theory-of-linear-algebra-1.tex	T04.SECTION	SECTION_OR_SUBSECTION	coordinate|change of basis	coordinates and basis change	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/05	theory-of-linear-algebra-1.tex	T05.SECTION	SECTION_OR_SUBSECTION	linear map|linear transformation	linear maps	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
I/06	theory-of-linear-algebra-1.tex	T06.SECTION	SECTION_OR_SUBSECTION	kernel|image|isomorphism	kernel image isomorphism	MIGRATE	100	YES	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	ROUTED_TO_CANONICAL_CHAPTER
