canonical_dossier_id	volume	chapter_code	entry_kind	label	title	provenance_origin	provenance_ledger	provenance_source_file	provenance_source_block_id	mapped_source_rules	source_rule_dispositions
prob:i01-dossier-01	I	I/01	problem	prob:i01-dossier-01	A hidden dependence in three vectors	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	diagrams_01-13_tikz.tex	S02	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-02	I	I/01	problem	prob:i01-dossier-02	Changing the scalar field	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.SECTION	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-03	I	I/01	problem	prob:i01-dossier-03	Polynomial coordinates without a basis theorem	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.SECTION	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-04	I	I/01	problem	prob:i01-dossier-04	Affine but not linear	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.EXERCISE_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-05	I	I/01	problem	prob:i01-dossier-05	Matrix units as building blocks	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-differential-geometry-3.tex	T01.THEORY_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-06	I	I/01	problem	prob:i01-dossier-06	Functions as vectors	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.EXERCISE_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-07	I	I/01	problem	prob:i01-dossier-07	Convex versus affine combinations	CORPUS_GUIDED	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	theory-of-linear-algebra-1.tex	T01.THEORY_CHILDREN	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-08	I	I/01	problem	prob:i01-dossier-08	Complex linearity test	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-09	I	I/01	problem	prob:i01-dossier-09	A parameterized linear combination	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
prob:i01-dossier-10	I	I/01	problem	prob:i01-dossier-10	Why finite sums are enough	DEVISED_TO_COMPLETE_COVERAGE	books/vol01_linear_algebra/dossiers/VOLUME01_DOSSIER_PROVENANCE.tsv	-	-	9	MAPPED_TO_FROZEN_CANONICAL_CHAPTER:8;SUPPORT_ONLY:1
