source_file	source_path	source_block_id	source_instance	kind	title	destination	source_paired_solution	section_title	source_hash
theory-of-algebraic-topology-10.tex	chapters/tex/theory-of-algebraic-topology-10.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-10.tex:visual:001	visual	A schematic decomposition of the genus \(2\) surface \(X=A\cup B\cup C\), where \(A\) and \(C\) are once-punctured tori and \(B\) is the annular strip between them.	VIII/07	YES	Final answers	829cf875032d678a1d94cb22685100d4605abc3772140f3e64c17a61af446eb6
theory-of-algebraic-topology-10.tex	chapters/tex/theory-of-algebraic-topology-10.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-10.tex:visual:002	visual	"A schematic decomposition of the genus-$2$ surface $X$ into
	$\ensuremath{X = A \cup B \cup C"	VIII/07	YES	Final answers	6b68116d24786034e46ffaa0affbdbd6374288a8d4a448e0f6eaed38897dff36
theory-of-algebraic-topology-10.tex	chapters/tex/theory-of-algebraic-topology-10.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-10.tex:visual:003	visual	"A schematic decomposition of the genus-$2$ surface $X$ into
	$\ensuremath{X = A \cup B \cup C"	VIII/07	YES	Final answers	d0b4ba85000388d215d88bb9e886b1b7d177990e33fdbc34feba2844cc7253f4
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:001	visual	Hemisphere CW decomposition of spheres. On the left, the circle $S^1$ is decomposed into two $0$-cells and two $1$-cells. On the right, the sphere $S^2$ is decomposed into two $0$-cells, two $1$-cells on the equator, and two $2$-cells given by the open northern and southern hemispheres.	VIII/05	YES	A CW structure on \(S^n\) with two cells in each dimension	c33a6d4cfb313262563c54fcdd43e46ef4de2b4d229391661558fa237803755c
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:002	visual	The skeleta in the hemisphere CW structure on $S^n$. At each stage, the $k$-skeleton is $X^k=S^k$, obtained from $S^{k-1	VIII/05	YES	A CW structure on \(S^n\) with two cells in each dimension	6ee8225d38a97551cc0e4ea6e176f4b07af735d73c6ca06897b37d3cab1d94bc
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	T01.SECTION	theory-of-algebraic-topology-11.tex:visual:003	visual	The cellular chain complex associated with the hemisphere CW structure on $S^n$. Each cellular chain group is isomorphic to $\mathbb{Z	VIII/05	YES	A CW structure on \(S^n\) with two cells in each dimension	81cd42589d8fc3f271aefe20b0f45a4a12b0eb8f8800e3667f739b4d172647d3
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:004	visual	Low-dimensional quotient examples for Problem~3. The quotient $ (D^1\times S^1)/(S^0\times S^1)$ behaves homologically like $S^1\vee S^2$, while $ (D^2\times S^1)/(S^1\times S^1)$ behaves homologically like $S^2\vee S^3$.	VIII/05	YES	Diagrams for Problems 3--5	c8e5f491f4bb5c615fac8899ef90681226499040a0d3bc53f5db41924fab7280
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:005	visual	The lens space $L_p^3$ as a quotient of $S^3$, together with its cellular chain complex and homology groups.	VIII/05	YES	Diagrams for Problems 3--5	6686d979bd8f8404366d4aeaee68e55107a02caa97031936765fad6830ef2dec
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:006	visual	Construction of the Moore space $M(\mathbb{Z	VIII/05	YES	Diagrams for Problems 3--5	f2b3de1a28fab1fe7f4aecc33c1b3fae2a21ff89baa674a15e3729b0550d7915
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:007	visual	Realization of prescribed finitely generated abelian homology groups using wedges of spheres and Moore spaces, as in Problem~5.	VIII/05	YES	Diagrams for Problems 3--5	c0c6228b681e36e3eec6c3f4375b6a3245f41f5a84cf55a597ead738e306c27b
theory-of-algebraic-topology-11.tex	chapters/tex/theory-of-algebraic-topology-11.tex	FALLBACK.ALL_UNMATCHED	theory-of-algebraic-topology-11.tex:visual:008	visual	The relative Stokes principle for the pair \((D^{k+1	VIII/05	YES	Pairing and boundary for \texorpdfstring{$(D^{k+1	ffc8128c092b0dc92be037aadb246220cbc3b2ab8fb7658c4080b070198b9377
