chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
II/13	1	prob:ii13-dossier-01	M-test with geometric majorant	CORPUS_GUIDED	theory-of-analysis-II.tex	T03.SECTION	series of functions|Weierstrass M-test	series of functions	Mapped source used for topic guidance; canonical problem and solution newly written.
II/13	2	prob:ii13-dossier-02	Uniform tail bound	CORPUS_GUIDED	theory-of-analysis-II.tex	T03.EXERCISE_CHILDREN	descendant-of(series of functions|Weierstrass M-test)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/13	3	prob:ii13-dossier-03	Harmonic obstruction	CORPUS_GUIDED	theory-of-analysis-II.tex	T03.THEORY_CHILDREN	descendant-of(series of functions|Weierstrass M-test)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/13	4	prob:ii13-dossier-04	Power-series compact convergence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	5	prob:ii13-dossier-05	Termwise integral	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	6	prob:ii13-dossier-06	A derivative series	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	7	prob:ii13-dossier-07	Absolute versus uniform	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	8	prob:ii13-dossier-08	Uniform Cauchy criterion	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	9	prob:ii13-dossier-09	Remainder estimate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	10	prob:ii13-dossier-10	Uniform convergence preserves continuity	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	11	prob:ii13-dossier-11	Local uniformity on noncompact domains	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/13	12	prob:ii13-dossier-12	Series synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	1	prob:ii14-dossier-01	Coefficient of a constant	CORPUS_GUIDED	theory-of-analysis-II.tex	T04.SECTION	trigonometric|Fourier series	trigonometric series	Mapped source used for topic guidance; canonical problem and solution newly written.
II/14	2	prob:ii14-dossier-02	Odd symmetry	CORPUS_GUIDED	theory-of-analysis-II.tex	T04.EXERCISE_CHILDREN	descendant-of(trigonometric|Fourier series)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/14	3	prob:ii14-dossier-03	Even symmetry	CORPUS_GUIDED	theory-of-analysis-II.tex	T04.THEORY_CHILDREN	descendant-of(trigonometric|Fourier series)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/14	4	prob:ii14-dossier-04	Orthogonality computation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	5	prob:ii14-dossier-05	Sawtooth structure	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	6	prob:ii14-dossier-06	Finite projection	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	7	prob:ii14-dossier-07	Bessel estimate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	8	prob:ii14-dossier-08	Dirichlet kernel integral	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	9	prob:ii14-dossier-09	Jump value	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	10	prob:ii14-dossier-10	Gibbs warning	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	11	prob:ii14-dossier-11	Parseval meaning	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/14	12	prob:ii14-dossier-12	Trigonometric synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	1	prob:ii15-dossier-01	Uniform continuity of Weierstrass partial sums	CORPUS_GUIDED	ex38g_ex39.tex	S01	Takagi|Exercise 38|Exercise 39	Takagi/pathological function exercise	Mapped source used for topic guidance; canonical problem and solution newly written.
II/15	2	prob:ii15-dossier-02	Derivative heuristic	CORPUS_GUIDED	ex3_8_takagi.tex	S01	Takagi|nowhere differentiable	Takagi function exercise	Mapped source used for topic guidance; canonical problem and solution newly written.
II/15	3	prob:ii15-dossier-03	Cantor function and derivative zero	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	4	prob:ii15-dossier-04	Pointwise discontinuous limit	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	5	prob:ii15-dossier-05	Dirichlet function	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	6	prob:ii15-dossier-06	Thomae contrast	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	7	prob:ii15-dossier-07	Hölder but not Lipschitz	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	8	prob:ii15-dossier-08	Dense set of discontinuities	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	9	prob:ii15-dossier-09	Nowhere differentiability lesson	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	10	prob:ii15-dossier-10	Uniform-limit protection	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	11	prob:ii15-dossier-11	Hypothesis testing	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/15	12	prob:ii15-dossier-12	Pathology synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	1	prob:ii16-dossier-01	Affine contraction	CORPUS_GUIDED	theory-of-analysis.tex	T04.SECTION	contraction|Banach fixed	contraction fixed point	Mapped source used for topic guidance; canonical problem and solution newly written.
II/16	2	prob:ii16-dossier-02	Iteration rate	CORPUS_GUIDED	theory-of-analysis.tex	T04.EXERCISE_CHILDREN	descendant-of(contraction|Banach fixed)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/16	3	prob:ii16-dossier-03	Uniqueness proof	CORPUS_GUIDED	theory-of-analysis.tex	T04.THEORY_CHILDREN	descendant-of(contraction|Banach fixed)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/16	4	prob:ii16-dossier-04	Why completeness matters	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	5	prob:ii16-dossier-05	Matrix contraction	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	6	prob:ii16-dossier-06	Fixed-point series	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/16	7	prob:ii16-dossier-07	A posteriori estimate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
