node	chapter	status	depends_on	used_by	notes
weak-derivatives	III/20	proved	distributions	III/21-23	weak derivative identities and uniqueness
sobolev-completeness	III/21	proved	weak-derivatives; Lp completeness	III/22-23	Banach/Hilbert structure
poincare	III/21	model-case proved	H0^1; zero extension; FTOC/Holder	III/23	coercivity bridge
trace	III/21	deferred	bounded Lipschitz domain; W1p theory	III/23	identifies H0^1 with zero trace
sobolev-embedding	III/21	deferred	dimension/exponent/domain hypotheses	later regularity discussions	endpoint distinctions recorded
rellich	III/21	deferred	Sobolev bounds; bounded Lipschitz domain	compactness methods	critical endpoint excluded
density-mollification	III/22	proved/model-case	approximate identities; extension near boundary	III/23	approximation of weak solutions
lax-milgram	III/23	proved	Hilbert space; bounded/coercive form	weak Poisson; Galerkin	abstract existence/uniqueness
weak-dirichlet-poisson	III/23	proved	trace; Poincare; Lax-Milgram	III/25; III/27	model elliptic BVP
fundamental-solutions	III/24	model-case/proved	distributions; Fourier multipliers	III/25; III/28	whole-space inversion
green-functions	III/25	model-case proved	fundamental solutions; boundary conditions	III/26-27	boundary-adapted inverse kernels
sturm-liouville-green	III/26	model-case proved	ODE theory; Wronskian; jump condition	spectral viewpoint	eigenvalue obstruction explicit
weak-maximum-comparison	III/27	proved	uniform ellipticity; sign convention; classical regularity	Dirichlet uniqueness	positive-principal-sign convention
strong-maximum-hopf	III/27	deferred	connectedness; ellipticity; boundary regularity	qualitative elliptic theory	full proofs deferred
transform-pde	III/28	proved in stated setting	global Fourier convention; distributions	heat/Poisson/wave examples	whole-space transform setting
