source_volume	source_code	source_title	target_volume	target_code	target_title	bridge_kind	rationale
I	I/03	Bases and Dimension	VII	VII/04	Tangent Spaces	FOUNDATION	Bases and dimension become the local linear language of tangent spaces.
I	I/05	Linear Transformations	VII	VII/03	Smooth Maps and Diffeomorphisms	FOUNDATION	Linear maps provide the model for derivatives of smooth maps.
I	I/09	Eigenvalues and Eigenvectors	VII	VII/07	Vector Bundles	FOUNDATION	Direct sums and linear algebra prepare the fiberwise algebra of vector bundles.
I	I/14	Gram–Schmidt and Orthogonal Projection	VII	VII/08	Principal and Frame Bundles	FOUNDATION	Orthogonality and bases support frame-bundle and metric constructions.
II	II/04	Open and Closed Sets	VII	VII/01	Topological Manifolds	FOUNDATION	Open and closed sets supply the local topological language of manifolds.
II	II/05	Metric Spaces and Continuity	VII	VII/01	Topological Manifolds	FOUNDATION	Metric-space continuity prepares the topology underlying manifolds.
II	II/08	Differentiability in Several Variables	VII	VII/03	Smooth Maps and Diffeomorphisms	FOUNDATION	Several-variable differentiability is the analytic model for smooth maps.
II	II/09	Inverse and Implicit Function Principles	VII	VII/06	Submanifolds and Products	FOUNDATION	Inverse and implicit function principles drive submanifold constructions.
II	II/06	Compactness	VIII	VIII/02	Homotopy Equivalence and Contractibility	SEE_ALSO	Compactness interacts strongly with homotopy equivalence and global topology.
III	III/15	Test-Function Spaces	III	III/16	Distributions and Distributional Derivatives	INTERNAL_BRIDGE	Test-function spaces feed directly into distributions; retained here to mark the analysis chain.
III	III/20	Weak Derivatives	VII	VII/40	The Heat Method	SEE_ALSO	Weak derivatives and PDE methods connect to geometric heat methods.
IV	IV/15	Analytic Continuation	IV	IV/22	From Analytic Continuation to Riemann Surfaces	INTERNAL_BRIDGE	Analytic continuation motivates Riemann surfaces.
IV	IV/23	Covering Maps and Monodromy	VIII	VIII/10	Covering Spaces	CONTINUATION	Covering maps and monodromy pass from complex analysis to topological covering theory.
IV	IV/27	Lattices and Complex Tori	VII	VII/07	Vector Bundles	SEE_ALSO	Complex tori are geometric examples of quotient and bundle constructions.
IV	IV/31	Elliptic Curves as Riemann Surfaces	VI	VI/43	Plane Cubics	CONTINUATION	Elliptic curves as Riemann surfaces meet plane cubic algebraic geometry.
V	V/02	Prime and Maximal Ideals	VI	VI/06	Prime Ideals as Geometric Points	FOUNDATION	Prime ideals become geometric points.
V	V/02	Prime and Maximal Ideals	VI	VI/07	The Spectrum of a Ring	FOUNDATION	Prime ideals organize the spectrum of a ring.
V	V/05	Multiplicative Systems	VI	VI/08	Basic Open Sets D(f)	FOUNDATION	Multiplicative systems underlie basic open localizations.
V	V/06	Localization of Rings	VI	VI/08	Basic Open Sets D(f)	FOUNDATION	Localization of rings gives the coordinate rings of basic opens.
V	V/08	Local Rings and Localization at Primes	VI	VI/11	Local Rings and Residue Fields	FOUNDATION	Localization at primes produces local rings and residue fields.
V	V/09	Modules and Exact Sequences	VI	VI/16	Exact Sequences of Sheaves	FOUNDATION	Exact sequences of modules prepare exact sequences of sheaves.
V	V/10	Tensor Products	VI	VI/23	Fiber Products	FOUNDATION	Tensor products underlie fiber products and base-change algebra.
V	V/11	Quotients and Base Change	VI	VI/24	Base Change	FOUNDATION	Module base change precedes geometric base change.
V	V/13	Free and Projective Modules	VII	VII/07	Vector Bundles	CONTINUATION	Projective modules are algebraic counterparts of vector-bundle behavior.
V	V/14	Flat Modules	VI	VI/24	Base Change	FOUNDATION	Flatness is a key exactness condition in base change.
V	V/15	Noetherian Rings and Modules	VI	VI/26	Finite-Type and Noetherian Morphisms	FOUNDATION	Noetherian algebra controls finite-type and Noetherian morphisms.
V	V/16	Support	VI	VI/21	Schemes and Their Points	FOUNDATION	Module support foreshadows the loci on which geometric objects live.
V	V/19	Integral Dependence	VI	VI/27	Integral Schemes and Function Fields	FOUNDATION	Integral dependence feeds integral schemes and function fields.
V	V/20	Integral Closure and Normalization	VI	VI/28	Normalization	FOUNDATION	Integral closure is the algebra behind normalization.
V	V/22	Chain Complexes	VIII	VIII/16	Chain Complexes	CONTINUATION	Chain complexes reappear as the algebraic engine of homology.
V	V/23	Free Resolutions	VIII	VIII/26	The Universal Coefficient Theorem	SEE_ALSO	Resolutions supply the algebra behind derived coefficient constructions.
V	V/26	The Tor Functor	VIII	VIII/27	Products and the Künneth Theorem	SEE_ALSO	Tor is the algebraic correction term behind Künneth phenomena.
V	V/27	The Ext Functor	VI	VI/48	Exact Sequences and Cohomology	CONTINUATION	Ext and derived exactness prepare sheaf-cohomological exact sequences.
V	V/28	Derived-Functor Viewpoint	VI	VI/49	Basic Vanishing Results	CONTINUATION	Derived-functor language leads naturally toward cohomological vanishing.
VII	VII/01	Topological Manifolds	VIII	VIII/01	Homotopies of Maps	CONTINUATION	Manifolds become spaces on which homotopies of maps are studied.
VII	VII/07	Vector Bundles	VIII	VIII/30	Vector Bundles and Clutching	CONTINUATION	Vector bundles continue into clutching constructions.
VII	VII/10	Orientation and Integration	VIII	VIII/33	Poincaré Duality	CONTINUATION	Orientation and integration prepare Poincaré duality.
VII	VII/09	Differential Forms	VIII	VIII/28	Cohomology	SEE_ALSO	Differential forms provide a geometric model for cohomological thinking.
VIII	VIII/16	Chain Complexes	VIII	VIII/17	Simplicial and Singular Homology	INTERNAL_BRIDGE	Chain complexes feed directly into homology.
