"path"	"artifact_class"	"final_action"	"reason"
"docs/imports/COMPANION_STATEMENT_RECOVERY_AUDIT.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/FINAL_LONG_CHILD_RECONCILIATION.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/FINAL_STRUCTURAL_CLOSURE.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/FINAL_TWO_MIXED_CONTAINER_REPAIR.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/FINAL_TWO_RESIDUAL_AUDIT.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/HIGH_CONF_LONG_CHILD_CLOSURE.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/KNOWN_ORPHAN_EDITORIAL_HISTORY.tsv"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/LONG_CHILD_FINAL_DECISIONS.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/LONG_CHILD_REVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/LONG_CHILD_REVIEW_DISPOSITIONS.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/LONG_CHILD_UNRESOLVED_FAMILY_REVIEW.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/MERGED_SOFT_READY_PROMOTION.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
"docs/imports/MISSING_COMPANION_STATEMENTS.md"	"canonical_documentation"	"KEEP_STAGE"	"Final audit, decision, status, or reconciliation narrative retained as durable documentation."
"docs/imports/NESTED_OBJECT_BOUNDARY_CONTEXT.md"	"superseded_working_document"	"REMOVE_IGNORE"	"Intermediate review, preview, packet, promotion, or diagnostic narrative superseded by final decisions/status records."
