source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-commutative-algebra-11.tex	COMMUTATIVE_ALGEBRA	T03.SECTION	SECTION_OR_SUBSECTION	ideal sum|ideal intersection|product ideal	ideal arithmetic	V/01	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v01-dossier-01
theory-of-commutative-algebra-11.tex	COMMUTATIVE_ALGEBRA	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(ideal sum|ideal intersection|product ideal)	problem|exercise|solution|worked problem	V/01	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v01-dossier-02
theory-of-commutative-algebra-11.tex	COMMUTATIVE_ALGEBRA	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(ideal sum|ideal intersection|product ideal)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/01	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v01-dossier-03
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_02.SECTION	SECTION_OR_SUBSECTION	prime ideal|maximal ideal|A/\\mathfrak m.*field	prime and maximal ideal definitions, criteria, and examples	V/02	110	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v02-dossier-01
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(prime ideal|maximal ideal|A/\\mathfrak m.*field)	problem|exercise|solution|worked problem	V/02	105	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v02-dossier-02
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(prime ideal|maximal ideal|A/\\mathfrak m.*field)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/02	105	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v02-dossier-03
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_03.SECTION	SECTION_OR_SUBSECTION	radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring	radical ideals, nilpotents, nilradical, and reduced quotient algebra	V/03	110	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v03-dossier-01
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring)	problem|exercise|solution|worked problem	V/03	105	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v03-dossier-02
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	OVR.V_03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(radical ideal|\\sqrt\{?I\}?|nilpotent|nilradical|reduced ring)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/03	105	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v03-dossier-03
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T01.SECTION	SECTION_OR_SUBSECTION	Chinese remainder|coprime ideals	Chinese remainder	V/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v04-dossier-01
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Chinese remainder|coprime ideals)	problem|exercise|solution|worked problem	V/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v04-dossier-04
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Chinese remainder|coprime ideals)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v04-dossier-05
theory-of-commutative-algebra-11.tex	COMMUTATIVE_ALGEBRA	T01.SECTION	SECTION_OR_SUBSECTION	coprime|comaximal	coprime ideals	V/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v04-dossier-02
