scope_id	source_file	source_block_id	source_selector	source_title_or_pattern	destination	coverage_rule	audit_status	instance_audit
VI-SCOPE-001	sheaves_notes_reorganized.tex	T01.EXERCISE_CHILDREN	descendant-of(presheaf)	problem|exercise|solution|worked problem	VI/12	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-002	sheaves_notes_reorganized.tex	T02.EXERCISE_CHILDREN	descendant-of(sheaf|stalk|germ)	problem|exercise|solution|worked problem	VI/13	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-003	sheaves_notes_reorganized.tex	T03.EXERCISE_CHILDREN	descendant-of(sheafification)	problem|exercise|solution|worked problem	VI/14	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI14_EXHAUSTIVELY_AUDITED
VI-SCOPE-004	sheaves_notes_reorganized.tex	T04.EXERCISE_CHILDREN	descendant-of(kernel|image|quotient)	problem|exercise|solution|worked problem	VI/15	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI15_KERNEL_IMAGE_QUOTIENT_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-005	sheaves_notes_reorganized.tex	T05.EXERCISE_CHILDREN	descendant-of(exact|stalkwise)	problem|exercise|solution|worked problem	VI/16	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI16_EXACT_SEQUENCES_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-006	theory-of-algebraic-geometry-1.tex	T01.EXERCISE_CHILDREN	descendant-of(prime ideal|Spec|spectrum)	problem|exercise|solution|worked problem	VI/07	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-007	theory-of-algebraic-geometry-1.tex	T02.EXERCISE_CHILDREN	descendant-of(basic open|D(f)|distinguished open)	problem|exercise|solution|worked problem	VI/08	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-008	theory-of-algebraic-geometry-1.tex	T03.EXERCISE_CHILDREN	descendant-of(localization|invert f|A_f)	problem|exercise|solution|worked problem	VI/08	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-009	theory-of-algebraic-geometry-1.tex	T04.EXERCISE_CHILDREN	descendant-of(generic point|closed point|maximal ideal)	problem|exercise|solution|worked problem	VI/09	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-010	theory-of-algebraic-geometry-1.tex	T05.EXERCISE_CHILDREN	descendant-of(nilpotent|nilradical|reduced)	problem|exercise|solution|worked problem	VI/10	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-011	theory-of-algebraic-geometry-1.tex	T06.EXERCISE_CHILDREN	descendant-of(connected|clopen|idempotent|product ring)	problem|exercise|solution|worked problem	VI/05	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-012	theory-of-algebraic-geometry-1.tex	T07.EXERCISE_CHILDREN	descendant-of(presheaf|restriction map)	problem|exercise|solution|worked problem	VI/12	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-013	theory-of-algebraic-geometry-1.tex	T08.EXERCISE_CHILDREN	descendant-of(sheaf|stalk|germ)	problem|exercise|solution|worked problem	VI/13	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-014	theory-of-algebraic-geometry-1.tex	T09.EXERCISE_CHILDREN	descendant-of(sheafification|espace étalé|etale space)	problem|exercise|solution|worked problem	VI/14	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI14_EXHAUSTIVELY_AUDITED
VI-SCOPE-015	theory-of-algebraic-geometry-1.tex	T10.EXERCISE_CHILDREN	descendant-of(kernel of sheaf|image of sheaf|quotient sheaf)	problem|exercise|solution|worked problem	VI/15	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI15_KERNEL_IMAGE_QUOTIENT_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-016	theory-of-algebraic-geometry-1.tex	T11.EXERCISE_CHILDREN	descendant-of(exactness|stalkwise criterion)	problem|exercise|solution|worked problem	VI/16	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI16_EXACT_SEQUENCES_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-017	theory-of-algebraic-geometry-10.tex	T01.EXERCISE_CHILDREN	descendant-of(divisor|Picard|line bundle|coherent)	problem|exercise|solution|worked problem	VI/39	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-018	theory-of-algebraic-geometry-11.tex	T01.EXERCISE_CHILDREN	descendant-of(flabby|flasque)	problem|exercise|solution|worked problem	VI/46	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-019	theory-of-algebraic-geometry-11.tex	T02.EXERCISE_CHILDREN	descendant-of(Čech|Cech)	problem|exercise|solution|worked problem	VI/47	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-020	theory-of-algebraic-geometry-11.tex	T03.EXERCISE_CHILDREN	descendant-of(long exact|cohomology exact)	problem|exercise|solution|worked problem	VI/48	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-021	theory-of-algebraic-geometry-11.tex	T04.EXERCISE_CHILDREN	descendant-of(acyclic|vanishing|flabby resolution)	problem|exercise|solution|worked problem	VI/49	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-022	theory-of-algebraic-geometry-19.tex	T03.EXERCISE_CHILDREN	descendant-of(plane cubic|cubic curve)	problem|exercise|solution|worked problem	VI/43	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-023	theory-of-algebraic-geometry-2.tex	T01.EXERCISE_CHILDREN	descendant-of(presheaf|sheaf)	problem|exercise|solution|worked problem	VI/12	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-024	theory-of-algebraic-geometry-2.tex	T02.EXERCISE_CHILDREN	descendant-of(stalk|germ)	problem|exercise|solution|worked problem	VI/13	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-025	theory-of-algebraic-geometry-2.tex	T03.EXERCISE_CHILDREN	descendant-of(sheafification)	problem|exercise|solution|worked problem	VI/14	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI14_EXHAUSTIVELY_AUDITED
VI-SCOPE-026	theory-of-algebraic-geometry-2.tex	T04.EXERCISE_CHILDREN	descendant-of(kernel|image|quotient sheaf)	problem|exercise|solution|worked problem	VI/15	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI15_KERNEL_IMAGE_QUOTIENT_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-027	theory-of-algebraic-geometry-2.tex	T05.EXERCISE_CHILDREN	descendant-of(exact sequence|exactness)	problem|exercise|solution|worked problem	VI/16	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI16_EXACT_SEQUENCES_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-028	theory-of-algebraic-geometry-3.tex	T01.EXERCISE_CHILDREN	descendant-of(structure sheaf|O_X|regular function)	problem|exercise|solution|worked problem	VI/17	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI17_STRUCTURE_SHEAF_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-029	theory-of-algebraic-geometry-3.tex	T02.EXERCISE_CHILDREN	descendant-of(affine scheme|Spec A)	problem|exercise|solution|worked problem	VI/18	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI18_AFFINE_SCHEMES_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-030	theory-of-algebraic-geometry-3.tex	T03.EXERCISE_CHILDREN	descendant-of(morphism of affine schemes|ring homomorphism)	problem|exercise|solution|worked problem	VI/19	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI19_AFFINE_MORPHISMS_INSTANCE_AUDIT_2026-08-20
VI-SCOPE-031	theory-of-algebraic-geometry-3.tex	T04.EXERCISE_CHILDREN	descendant-of(D(f)|Spec A_f)	problem|exercise|solution|worked problem	VI/18	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI18_AFFINE_SCHEMES_INSTANCE_AUDIT_2026-08-19
VI-SCOPE-032	theory-of-algebraic-geometry-3.tex	T05.EXERCISE_CHILDREN	descendant-of(locally ringed|local morphism)	problem|exercise|solution|worked problem	VI/21	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	VI21_SCHEMES_POINTS_INSTANCE_AUDIT_2026-08-21
VI-SCOPE-033	theory-of-algebraic-geometry-4.tex	T01.EXERCISE_CHILDREN	descendant-of(graded ring|homogeneous)	problem|exercise|solution|worked problem	VI/33	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-034	theory-of-algebraic-geometry-4.tex	T02.EXERCISE_CHILDREN	descendant-of(Proj)	problem|exercise|solution|worked problem	VI/34	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-035	theory-of-algebraic-geometry-4.tex	T03.EXERCISE_CHILDREN	descendant-of(projective space|P^n)	problem|exercise|solution|worked problem	VI/35	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-036	theory-of-algebraic-geometry-4.tex	T04.EXERCISE_CHILDREN	descendant-of(projective scheme)	problem|exercise|solution|worked problem	VI/36	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
VI-SCOPE-037	theory-of-algebraic-geometry-4.tex	T05.EXERCISE_CHILDREN	descendant-of(projective morphism|closed embedding)	problem|exercise|solution|worked problem	VI/37	INHERIT_FROM_MATCHED_SECTION	EXHAUSTIVE_BY_INHERITANCE	TRACKED_FOR_DESTINATION_CHAPTER
