chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
V/01	1	prob:v01-dossier-01	Commutative rings diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T03.SECTION	ideal sum|ideal intersection|product ideal	ideal arithmetic	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/01	2	prob:v01-dossier-02	Ideals diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T03.EXERCISE_CHILDREN	descendant-of(ideal sum|ideal intersection|product ideal)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/01	3	prob:v01-dossier-03	Generated ideals diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-11.tex	T03.THEORY_CHILDREN	descendant-of(ideal sum|ideal intersection|product ideal)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/01	4	prob:v01-dossier-04	Sums and intersections diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	5	prob:v01-dossier-05	Quotient rings diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	6	prob:v01-dossier-06	Ring homomorphisms diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	7	prob:v01-dossier-07	Correspondence of ideals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	8	prob:v01-dossier-08	Examples diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	9	prob:v01-dossier-09	First isomorphism theorem proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	10	prob:v01-dossier-10	Correspondence theorem proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/01	11	prob:v01-dossier-11	Third isomorphism theorem proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
