label	chapter	status	hint
exr:ii01-01	II/01	PASS	Show first that every term is below the proposed supremum, then use the Archimedean property to get terms arbitrarily close to it.
exr:ii01-02	II/01	PASS	Verify that 0 is a lower bound, then use the Archimedean property to put some 1/n below any prescribed positive number.
exr:ii01-03	II/01	PASS	Use a double inequality.
exr:ii01-04	II/01	PASS	Apply reverse triangle inequality.
exr:ii01-05	II/01	PASS	Use $q^2<3$.
exr:ii01-06	II/01	PASS	Use induction on the number of elements, comparing the current maximum with the next element.
exr:ii01-07	II/01	PASS	Every upper bound of $B$ bounds $A$.
exr:ii01-08	II/01	PASS	Assume positive distance.
exr:ii02-01	II/02	PASS	Compute each norm directly from its defining formula; no topology or convergence theorem is needed.
exr:ii02-02	II/02	PASS	Check positivity and homogeneity directly, then use \(\lvert x_i+y_i\rvert\le \lvert x_i\rvert+\lvert y_i\rvert\) for the triangle inequality.
exr:ii02-03	II/02	PASS	View it as a weighted infinity norm.
exr:ii02-04	II/02	PASS	Subtract first.
exr:ii02-05	II/02	PASS	Apply homogeneity with scalar \(0\): \(\lVert 0v\rVert=0\lVert v\rVert=0\).
exr:ii02-06	II/02	PASS	Use reverse triangle inequality.
exr:ii02-07	II/02	PASS	Bound and attain.
exr:ii02-08	II/02	PASS	Use strict norm bounds.
exr:ii03-01	II/03	PASS	Solve \(3/n<\varepsilon\) for \(n\), then choose an integer \(N\) so the inequality holds whenever \(n\ge N\).
exr:ii03-02	II/03	PASS	Bound the absolute value.
exr:ii03-03	II/03	PASS	For a constant sequence every tail distance \(d(a_m,a_n)\) is exactly zero.
exr:ii03-04	II/03	PASS	It is a tail subsequence.
exr:ii03-05	II/03	PASS	Rewrite the expression.
exr:ii03-06	II/03	PASS	Use alternating signs.
exr:ii03-07	II/03	PASS	Use monotone convergence.
exr:ii03-08	II/03	PASS	Use epsilon $1$.
exr:ii04-01	II/04	PASS	For x in (0,1), choose a radius smaller than both x and 1-x.
exr:ii04-02	II/04	PASS	Inspect the complement.
exr:ii04-03	II/04	PASS	Use closure minus interior.
exr:ii04-04	II/04	PASS	Is $\mathbb Z$ closed?
exr:ii04-05	II/04	PASS	Use complements.
exr:ii04-06	II/04	PASS	Use shrinking intervals.
exr:ii04-07	II/04	PASS	Endpoints fail the ball condition.
exr:ii04-08	II/04	PASS	Use the extremal definitions: the interior lies inside the set, while the closure is a closed superset of it.
exr:ii05-01	II/05	PASS	Separate the cases x=z and x!=z; in the latter case at least one of d(x,y),d(y,z) equals 1.
exr:ii05-02	II/05	PASS	Compute differences.
exr:ii05-03	II/05	PASS	Output distance is zero.
exr:ii05-04	II/05	PASS	At a fixed point, split epsilon between the two summands and use continuity of each function.
exr:ii05-05	II/05	PASS	Use reverse triangle inequality.
exr:ii05-06	II/05	PASS	Use epsilon $1/2$.
exr:ii05-07	II/05	PASS	Fix a point.
exr:ii05-08	II/05	PASS	Use quadratic growth.
exr:ii06-01	II/06	PASS	Check closed and bounded.
exr:ii06-02	II/06	PASS	Check boundedness.
exr:ii06-03	II/06	PASS	From an arbitrary open cover choose one member containing each of the finitely many points.
exr:ii06-04	II/06	PASS	A Cauchy sequence in a compact metric space has a convergent subsequence; use the Cauchy property to show the whole sequence has the same limit.
exr:ii06-05	II/06	PASS	Use Heine--Borel.
exr:ii06-06	II/06	PASS	Compact subsets of metric spaces are closed.
exr:ii06-07	II/06	PASS	Use Heine--Borel.
exr:ii06-08	II/06	PASS	Only a subsequence is guaranteed.
exr:ii07-01	II/07	PASS	Find a separation.
exr:ii07-02	II/07	PASS	Use straight lines.
exr:ii07-03	II/07	PASS	Use the theorem.
exr:ii07-04	II/07	PASS	Use an intermediate-point argument.
exr:ii07-05	II/07	PASS	A one-point space cannot be partitioned into two disjoint nonempty open pieces.
exr:ii07-06	II/07	PASS	Cut at an irrational number.
exr:ii07-07	II/07	PASS	Use interval connectedness.
exr:ii07-08	II/07	PASS	Recall a classical plane counterexample.
exr:ii08-01	II/08	PASS	Differentiate coordinatewise.
exr:ii08-02	II/08	PASS	Differentiate each component.
exr:ii08-03	II/08	PASS	Try L itself as the derivative of a linear map L; the remainder is identically zero.
exr:ii08-04	II/08	PASS	Differentiate twice.
exr:ii08-05	II/08	PASS	Add the two linearization formulas and combine their \(o(\lVert h\rVert)\) remainders.
exr:ii08-06	II/08	PASS	Assume an interior extremum.
exr:ii08-07	II/08	PASS	Test a one-variable counterexample such as \(f(x)=x^3\) at the origin; vanishing derivative need not imply an extremum.
exr:ii08-08	II/08	PASS	It is linear already.
exr:ii09-01	II/09	PASS	Check the derivative.
exr:ii09-02	II/09	PASS	Differentiate an identity.
exr:ii09-03	II/09	PASS	Differentiate in $y$.
exr:ii09-04	II/09	PASS	Factor in $y$.
exr:ii09-05	II/09	PASS	The inverse theorem gives a local diffeomorphism, and a diffeomorphism maps a sufficiently small neighborhood onto a neighborhood.
exr:ii09-06	II/09	PASS	Use periodicity.
exr:ii09-07	II/09	PASS	Differentiate with respect to the solved variables.
exr:ii09-08	II/09	PASS	Think surjectivity.
exr:ii10-01	II/10	PASS	The integral of the constant 1 over [0,2] is the rectangle area base times height.
exr:ii10-02	II/10	PASS	Use FTC.
exr:ii10-03	II/10	PASS	Use compactness.
exr:ii10-04	II/10	PASS	Recall Dirichlet's example.
exr:ii10-05	II/10	PASS	Split the interval at c and use additivity: integrate separately on [a,c] and [c,b].
exr:ii10-06	II/10	PASS	Use monotonicity.
exr:ii10-07	II/10	PASS	Think of partition sums.
exr:ii10-08	II/10	PASS	Zero interval length.
exr:ii11-01	II/11	PASS	A uniform epsilon index works simultaneously for all x, so in particular it works at any one fixed x.
exr:ii11-02	II/11	PASS	Use $x^n$ on $[0,1]$.
exr:ii11-03	II/11	PASS	Take the bound to zero.
exr:ii11-04	II/11	PASS	Use the uniform limit theorem.
exr:ii11-05	II/11	PASS	Fix x first; then x/n is an ordinary numerical sequence tending to zero.
exr:ii11-06	II/11	PASS	Take the supremum.
exr:ii11-07	II/11	PASS	Supremum is infinite.
exr:ii11-08	II/11	PASS	One index for all points and tail pairs.
exr:ii12-01	II/12	PASS	On a compact interval, yes.
exr:ii12-02	II/12	PASS	Use interval length.
exr:ii12-03	II/12	PASS	Use $\sin(nx)/n$.
exr:ii12-04	II/12	PASS	Derivative data determine a function only up to an additive constant; one convergent value fixes that constant.
exr:ii12-05	II/12	PASS	Under integrability.
exr:ii12-06	II/12	PASS	Sup norm on a compact interval.
exr:ii12-07	II/12	PASS	Use high-frequency functions.
exr:ii12-08	II/12	PASS	Use the theorem.
exr:ii13-01	II/13	PASS	Use $(1/2)^n$.
exr:ii13-02	II/13	PASS	Check $x=1$.
exr:ii13-03	II/13	PASS	Uniform convergence of the series means uniform convergence of its sequence of partial sums.
exr:ii13-04	II/13	PASS	Cauchy criterion.
exr:ii13-05	II/13	PASS	Estimate a series tail by comparison with a geometric or integral bound rather than summing many terms explicitly.
exr:ii13-06	II/13	PASS	The radius is the threshold separating guaranteed convergence inside from divergence outside; endpoints must be checked separately.
exr:ii13-07	II/13	PASS	To disprove uniform convergence, locate points where the tail does not become uniformly small.
exr:ii13-08	II/13	PASS	Use majorant tail.
exr:ii14-01	II/14	PASS	Parity.
exr:ii14-02	II/14	PASS	Parity.
exr:ii14-03	II/14	PASS	Parity/product identities.
exr:ii14-04	II/14	PASS	A trigonometric polynomial is a finite linear combination of 1, cos(nx), and sin(nx).
exr:ii14-05	II/14	PASS	Use the nonnegativity of the squared norm after subtracting the finite orthogonal projection.
exr:ii14-06	II/14	PASS	The function value.
exr:ii14-07	II/14	PASS	Average of one-sided limits.
exr:ii14-08	II/14	PASS	Orthogonal projection in $L^2$.
exr:ii15-01	II/15	PASS	Think of nowhere-differentiable examples.
exr:ii15-02	II/15	PASS	Yes: the M-test gives uniform convergence of the continuous partial sums, and uniform limits preserve continuity.
exr:ii15-03	II/15	PASS	Use $x^n$.
exr:ii15-04	II/15	PASS	Use the Cantor function: it is constant on each removed interval but still increases from 0 to 1.
exr:ii15-05	II/15	PASS	Check quotient.
exr:ii15-06	II/15	PASS	Use square-root inequality.
exr:ii15-07	II/15	PASS	Upper/lower sums.
exr:ii15-08	II/15	PASS	Test hypotheses.
exr:ii16-01	II/16	PASS	Solve algebraically.
exr:ii16-02	II/16	PASS	Coefficient of $x$.
exr:ii16-03	II/16	PASS	If x and y are fixed points, compare d(x,y)=d(Tx,Ty) with q d(x,y).
exr:ii16-04	II/16	PASS	If the global map is not contractive, restrict to a closed invariant subset where a sharper derivative or Lipschitz bound holds.
exr:ii16-05	II/16	PASS	The Picard iterates are Cauchy; completeness is exactly what turns that Cauchy sequence into a limit in the space.
exr:ii16-06	II/16	PASS	Picard iteration.
exr:ii16-07	II/16	PASS	Geometric.
exr:ii16-08	II/16	PASS	No strict contraction.
exr:ii17-01	II/17	PASS	Apply the interval fixed-point theorem, or apply the intermediate-value theorem to f(x)-x.
exr:ii17-02	II/17	PASS	Identity.
exr:ii17-03	II/17	PASS	No. The identity map already has every point as a fixed point.
exr:ii17-04	II/17	PASS	Open interval counterexample.
exr:ii17-05	II/17	PASS	For a noncompact counterexample, try a translation that moves every point while still mapping the space into itself.
exr:ii17-06	II/17	PASS	Straight segments stay inside.
exr:ii17-07	II/17	PASS	Chord leaves circle.
exr:ii17-08	II/17	PASS	Intermediate value theorem.
exr:ii18-01	II/18	PASS	Rewrite f=g+Kf as (I-K)f=g; when I-K is invertible this determines the solution.
exr:ii18-02	II/18	PASS	Operator norm below one.
exr:ii18-03	II/18	PASS	Use the sup norm because a uniform kernel bound lets \(\lVert f\rVert_\infty\) factor out of the integral estimate.
exr:ii18-04	II/18	PASS	Variable upper endpoint.
exr:ii18-05	II/18	PASS	Fixed interval.
exr:ii18-06	II/18	PASS	Integrate once.
exr:ii18-07	II/18	PASS	Multiplies Lipschitz constant.
exr:ii18-08	II/18	PASS	Use a geometric-series bound on successive differences to estimate the error after finitely many iterations.
exr:ii19-01	II/19	PASS	Exponential.
exr:ii19-02	II/19	PASS	Picard--Lindelof gives local uniqueness once continuity and a local Lipschitz condition in y are verified.
exr:ii19-03	II/19	PASS	Lipschitz in state.
exr:ii19-04	II/19	PASS	Subtract two integral equations and apply Gronwall to the absolute difference.
exr:ii19-05	II/19	PASS	If uniqueness fails, look for a right-hand side that is continuous but not locally Lipschitz in \(y\).
exr:ii19-06	II/19	PASS	Integral map.
exr:ii19-07	II/19	PASS	Zero of vector field.
exr:ii19-08	II/19	PASS	Keep the existence interval local unless you have an a priori bound preventing escape from the rectangle.
exr:ii20-01	II/20	PASS	Line through them.
exr:ii20-02	II/20	PASS	A degree-at-most-n polynomial is uniquely determined by n+1 values at distinct nodes.
exr:ii20-03	II/20	PASS	Vandermonde determinant.
exr:ii20-04	II/20	PASS	Kronecker delta.
exr:ii20-05	II/20	PASS	One factor per node.
exr:ii20-06	II/20	PASS	Subtract two candidates; their difference would have n+1 distinct zeros but degree at most n.
exr:ii20-07	II/20	PASS	Interpolation is exact at the nodes but may oscillate badly between them; inspect the remainder and the node placement.
exr:ii20-08	II/20	PASS	Newton form.
exr:ii21-01	II/21	PASS	Weierstrass approximation is uniform: the error is measured in the sup norm on the compact interval.
exr:ii21-02	II/21	PASS	Check continuity on a compact interval before invoking the uniform polynomial approximation theorem.
exr:ii21-03	II/21	PASS	$[0,1]$.
