companion_problem_id	source_problem_id	source_file	source_line_range	source_kind	staged_outputs	output_count	figure_status	note
CP-IV-0035	IMP-DL-0E1529C1F4-P002	Downloads/theory-of-complex-analysis-maps.tex	L674-L774	SOURCE_IMAGE	cp_iv_0035_crossratio_line_z_plane.png;cp_iv_0035_crossratio_line_w_plane.png	2	SOURCE_ASSET_STAGED	line mapped to real axis
CP-IV-0039	IMP-DL-0A181AC273-P013	Downloads/theory-of-complex-analysis.tex	L307-L334	SOURCE_IMAGE	cp_iv_0039_rotation_scaling.png;cp_iv_0039_conjugation.png;cp_iv_0039_shear.png;cp_iv_0039_general_mixed.png	4	SOURCE_ASSET_STAGED	real-linear mixed map examples
CP-IV-0047	IMP-DL-A99C7658F3-PSR002860-50A9514D	Downloads/theory-of-algebraic-geometry-2.tex	L2860-L2951	NO_LOCAL_SOURCE_FIGURE		0	REVIEWED_NO_LOCAL_SOURCE_FIGURE	scanner flag; exact semantic span contains no figure
CP-IV-0065	IMP-DL-0E1529C1F4-P003	Downloads/theory-of-complex-analysis-maps.tex	L775-L918	SOURCE_IMAGE	cp_iv_0065_hp_to_hp_z_plane.png;cp_iv_0065_hp_to_hp_w_plane.png;cp_iv_0065_nontrivial_hp_z_plane.png;cp_iv_0065_nontrivial_hp_w_plane.png	4	SOURCE_ASSET_STAGED	half-plane mapping examples
CP-IV-0066	IMP-DL-D4351A3BBD-P021	Downloads/theory-of-geometry-IV.tex	L1681-L1733	SOURCE_TIKZ	tikz/cp_iv_0066_source_figure_01.tex	1	SOURCE_TIKZ_STAGED	problem-local TikZ
CP-IV-0069	IMP-DL-D4351A3BBD-P025	Downloads/theory-of-geometry-IV.tex	L1770-L2124	SOURCE_TIKZ	tikz/cp_iv_0069_source_figure_01.tex	1	SOURCE_TIKZ_STAGED	problem-local TikZ
CP-IV-0083	IMP-DL-0E1529C1F4-P001	Downloads/theory-of-complex-analysis-maps.tex	L623-L673	SOURCE_IMAGE	cp_iv_0083_crossratio_circle_z_plane.png;cp_iv_0083_crossratio_circle_w_plane.png	2	SOURCE_ASSET_STAGED	circle mapped to real axis
CP-IV-0089	IMP-DL-E88547CF67-P030	Downloads/theory-of-geometry-3.tex	L3611-L4212	SOURCE_TIKZ	tikz/cp_iv_0089_source_figure_01.tex;tikz/cp_iv_0089_source_figure_02.tex;tikz/cp_iv_0089_source_figure_03.tex;tikz/cp_iv_0089_source_figure_04.tex;tikz/cp_iv_0089_source_figure_05.tex;tikz/cp_iv_0089_source_figure_06.tex;tikz/cp_iv_0089_source_figure_07.tex;tikz/cp_iv_0089_source_figure_08.tex	8	SOURCE_TIKZ_STAGED	eight source TikZ figure floats
CP-IV-0098	IMP-DL-2370D81D66-P002	Downloads/theory-of-analysis-FD.tex	L230-L652	SOURCE_IMAGE+TIKZ	cp_iv_0098_F_mapping_theta_pi_over_3.png;cp_iv_0098_F_real_theta_pi_over_3.png;cp_iv_0098_F_magnitude_theta_pi_over_3.png;cp_iv_0098_F_mapping_theta_pi_over_4.png;cp_iv_0098_F_mapping_theta_pi_over_2.png;cp_iv_0098_F_mapping_theta_pi_over_8.png;tikz/cp_iv_0098_source_figure_01.tex	7	SOURCE_ASSET_AND_TIKZ_STAGED	residue contour/Fourier figures
CP-IV-0102	IMP-DL-0E1529C1F4-P004	Downloads/theory-of-complex-analysis-maps.tex	L970-L1136	SOURCE_IMAGE	cp_iv_0102_hp_auto_z_plane.png;cp_iv_0102_hp_auto_w_plane.png;cp_iv_0102_hp_h1h2_z_plane.png;cp_iv_0102_hp_h1h2_w_plane.png	4	SOURCE_ASSET_STAGED	upper-half-plane automorphism and H1->H2
CP-IV-0110	IMP-DL-A509E7ADEA-R000101-C14F30C5	Downloads/theory-of-disitrbutions.tex	L101-L470	SOURCE_TIKZ	tikz/cp_iv_0110_source_figure_01.tex;tikz/cp_iv_0110_source_figure_02.tex;tikz/cp_iv_0110_source_figure_03.tex;tikz/cp_iv_0110_source_figure_04.tex;tikz/cp_iv_0110_source_figure_05.tex;tikz/cp_iv_0110_source_figure_06.tex;tikz/cp_iv_0110_source_figure_07.tex;tikz/cp_iv_0110_source_figure_08.tex;tikz/cp_iv_0110_source_figure_09.tex;tikz/cp_iv_0110_source_figure_10.tex;tikz/cp_iv_0110_source_figure_11.tex;tikz/cp_iv_0110_source_figure_12.tex;tikz/cp_iv_0110_source_figure_13.tex;tikz/cp_iv_0110_source_figure_14.tex;tikz/cp_iv_0110_source_figure_15.tex	15	SOURCE_TIKZ_STAGED	fifteen source TikZ charts/diagrams
CP-IV-0115	IMP-DL-0E1529C1F4-P005	Downloads/theory-of-complex-analysis-maps.tex	L1169-L1205	SOURCE_IMAGE	cp_iv_0115_disk_auto_z_plane.png;cp_iv_0115_disk_auto_w_plane.png	2	SOURCE_ASSET_STAGED	disk automorphism
