chapter_code	source_file	source_block_id	block_kind	source_selector	action	precedence	audit_status	legacy_source_exists	canonical_target	resolution
VI/01	theory-of-differential-geometry-4.tex	T01.SECTION	SECTION_OR_SUBSECTION	affine variety|algebraic set	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/01	theory-of-differential-geometry-4.tex	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(affine variety|algebraic set)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/01	theory-of-differential-geometry-4.tex	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(affine variety|algebraic set)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/01	theory-of-differential-geometry-4.tex	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	MIGRATE	10	COVERED_PENDING_INSTANCE_DIFF	YES	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/02	theory-of-differential-geometry-4.tex	T02.SECTION	SECTION_OR_SUBSECTION	Zariski	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/02	theory-of-differential-geometry-4.tex	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Zariski)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/02	theory-of-differential-geometry-4.tex	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Zariski)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/03	theory-of-differential-geometry-4.tex	T03.SECTION	SECTION_OR_SUBSECTION	coordinate ring	MIGRATE	100	CURATED_TOPIC_MAP	YES	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/03	theory-of-differential-geometry-4.tex	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(coordinate ring)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
VI/03	theory-of-differential-geometry-4.tex	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(coordinate ring)	MIGRATE	90	EXHAUSTIVE_BY_INHERITANCE	YES	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	RESOLVED_TO_ACTIVE_CANONICAL_CHAPTER
