asset_id	volume	chapter_code	chapter_source	overlay_source	asset_kind	label	generated_artifact	rebuild_command	caption_contract	prose_anchor	review_status
C07-IV14-FIG	IV	IV/14	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/chapter.tex	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/c07_visuals.tex	figure	fig:iv14-c07-branch-cut	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states slit-domain and monodromy interpretation	Figure~\ref{fig:iv14-c07-branch-cut}	C07_REVIEWED
C07-IV14-TAB	IV	IV/14	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/chapter.tex	books/vol04_complex_analysis/chapters/ch14_branches_of_the_logarithm_and_roots/c07_visuals.tex	table	tab:iv14-c07-branch-conventions	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states branch and root conventions	Table~\ref{tab:iv14-c07-branch-conventions}	C07_REVIEWED
C07-IV23-FIG	IV	IV/23	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/chapter.tex	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/c07_visuals.tex	figure	fig:iv23-c07-monodromy-lift	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states base-loop and lifted-endpoint interpretation	Figure~\ref{fig:iv23-c07-monodromy-lift}	C07_REVIEWED
C07-IV23-TAB	IV	IV/23	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/chapter.tex	books/vol04_complex_analysis/chapters/ch23_covering_maps_and_monodromy/c07_visuals.tex	table	tab:iv23-c07-monodromy-data	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states data required for a lift	Table~\ref{tab:iv23-c07-monodromy-data}	C07_REVIEWED
C07-V07-FIG	V	V/07	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/chapter.tex	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/c07_visuals.tex	figure	fig:v07-c07-localization-exactness	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states exactness without false injectivity	Figure~\ref{fig:v07-c07-localization-exactness}	C07_REVIEWED
C07-V07-TAB	V	V/07	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/chapter.tex	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/c07_visuals.tex	table	tab:v07-c07-localization-hypotheses	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states localization hypotheses and caution	Table~\ref{tab:v07-c07-localization-hypotheses}	C07_REVIEWED
C07-VI07-FIG	VI	VI/07	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/c07_visuals.tex	figure	fig:vi07-c07-specialization	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states specialization order as a poset	Figure~\ref{fig:vi07-c07-specialization}	C07_REVIEWED
C07-VI07-TAB	VI	VI/07	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/c07_visuals.tex	table	tab:vi07-c07-spec-dictionary	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states ideal-theoretic translation	Table~\ref{tab:vi07-c07-spec-dictionary}	C07_REVIEWED
C07-VI13-FIG	VI	VI/13	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/c07_visuals.tex	figure	fig:vi13-c07-sheaf-gluing	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states compatibility and gluing roles	Figure~\ref{fig:vi13-c07-sheaf-gluing}	C07_REVIEWED
C07-VI13-TAB	VI	VI/13	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/c07_visuals.tex	table	tab:vi13-c07-sheaf-hypotheses	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states sheaf-condition hypotheses	Table~\ref{tab:vi13-c07-sheaf-hypotheses}	C07_REVIEWED
C07-VII23-FIG	VII	VII/23	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex	books/vol07_differential_geometry/chapters/ch23_geodesics/c07_visuals.tex	figure	fig:vii23-c07-expmap	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states local exponential-map scope	Figure~\ref{fig:vii23-c07-expmap}	C07_REVIEWED
C07-VII23-TAB	VII	VII/23	books/vol07_differential_geometry/chapters/ch23_geodesics/chapter.tex	books/vol07_differential_geometry/chapters/ch23_geodesics/c07_visuals.tex	table	tab:vii23-c07-expmap-conventions	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states range hypotheses	Table~\ref{tab:vii23-c07-expmap-conventions}	C07_REVIEWED
C07-VII31-FIG	VII	VII/31	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/chapter.tex	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/c07_visuals.tex	figure	fig:vii31-c07-hyperbolic-models	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states model correspondence	Figure~\ref{fig:vii31-c07-hyperbolic-models}	C07_REVIEWED
C07-VII31-TAB	VII	VII/31	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/chapter.tex	books/vol07_differential_geometry/chapters/ch31_hyperbolic_plane_models/c07_visuals.tex	table	tab:vii31-c07-hyperbolic-conventions	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states model conventions	Table~\ref{tab:vii31-c07-hyperbolic-conventions}	C07_REVIEWED
C07-VII40-FIG	VII	VII/40	books/vol07_differential_geometry/chapters/ch40_the_heat_method/chapter.tex	books/vol07_differential_geometry/chapters/ch40_the_heat_method/c07_visuals.tex	figure	fig:vii40-c07-heat-pipeline	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states heat pipeline interpretation	Figure~\ref{fig:vii40-c07-heat-pipeline}	C07_REVIEWED
C07-VII40-TAB	VII	VII/40	books/vol07_differential_geometry/chapters/ch40_the_heat_method/chapter.tex	books/vol07_differential_geometry/chapters/ch40_the_heat_method/c07_visuals.tex	table	tab:vii40-c07-heat-conventions	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states sign and boundary conventions	Table~\ref{tab:vii40-c07-heat-conventions}	C07_REVIEWED
C07-VII42-FIG	VII	VII/42	books/vol07_differential_geometry/chapters/ch42_curvature_lines_ridges_and_valleys/chapter.tex	books/vol07_differential_geometry/chapters/ch42_curvature_lines_ridges_and_valleys/c07_visuals.tex	figure	fig:vii42-c07-ridge-pipeline	INLINE_TEX	.\BUILD_ALL.ps1 -CanonicalOnly	states directional extraction	Figure~\ref{fig:vii42-c07-ridge-pipeline}	C07_REVIEWED
