orphan_semantic_unit_id	member_count	source_candidate_count	semantic_candidate_count	top_candidate_statement_hash	top_representative_problem_id	top_equivalent_problem_count	top_score	second_score	margin	strong_review_candidate	recommended_action
SOLSEM-0588764558DD	2	14	8	5ee2854c506f81ba9c303afe644bfc1398adfe79e9a70a7abd590fc758634140	IMP-DL-336732908A-P001	2	0.3085	0.2161	0.0924	NO	EDITORIAL_REVIEW
SOLSEM-05FFD2FA731D	2	16	8	41de55b8cd751ac5fdb812d178924d9fe9e640c35d5314e2911862f1409231f1	IMP-DL-117191C0EC-P001	2	0.3866	0.3778	0.0088	NO	EDITORIAL_REVIEW
SOLSEM-0AD62D6BE89F	4	24	8	95f990e2c475094e91914c8b1165b623ae873e09bdd2f783b395b2d110145896	IMP-DL-1068DBED71-P017	4	0.3403	0.3301	0.0102	NO	EDITORIAL_REVIEW
SOLSEM-0CB155B2EE69	6	46	10	5aee21742b4e6aefb922b71c80934ad832cd7c5ae47a2a71e10c79456dbab167	IMP-DL-15679DEE8D-P001	6	0.3491	0.3321	0.0170	NO	EDITORIAL_REVIEW
SOLSEM-11922CF888FA	2	14	7	053e9e0ffcaaadb30617727fa07fd52c96a580c3bec775825591687b52882690	IMP-DL-F77C60E8D1-P007	2	0.4870	0.3666	0.1204	NO	EDITORIAL_REVIEW
SOLSEM-18288AB3C183	2	10	5	1d8d1938685005ec228c38493f3d940cc1840d76d97ada6c0597efc27a2e632d	IMP-DL-7A55205E2C-P002	2	0.2143	0.2099	0.0044	NO	EDITORIAL_REVIEW
SOLSEM-24370ABEA39C	8	42	14	b4880551b14bf26fe932d98dc2eeae8698901eab0f5d9a296a3d81e158467936	IMP-DL-0E1AFE9FFD-P001	6	0.5153	0.4074	0.1079	NO	EDITORIAL_REVIEW
SOLSEM-2ECC5725FBED	2	10	5	d6080de365a2be3c7577aee72e94c9e47709209329d99b41bc9bc204440e159b	IMP-DL-40BD8D3E26-P005	2	0.1755	0.1589	0.0167	NO	EDITORIAL_REVIEW
SOLSEM-33A097330A55	2	14	6	28d0b50337307d12800267efb8f08885f21ddaa6c00dde9cc2447bc7442d9bbf	IMP-DL-B7B63B4C41-P009	2	0.4058	0.1408	0.2650	NO	EDITORIAL_REVIEW
SOLSEM-430E116B7B76	2	16	8	d4cb1846c9c0ffdd2c52e9b49af0aa66ad8e9951396b4e4d7fe50dd57ecf8dd7	IMP-DL-336732908A-P002	2	0.4763	0.4448	0.0315	NO	EDITORIAL_REVIEW
SOLSEM-46C35180713E	2	8	2	9e25d81d46c4d8396d07b2ceeb4b1ff977ddc309f5939812d1fc20a68172d591	IMP-DL-38CE6DEB56-P049	2	0.1766	0.1744	0.0021	NO	EDITORIAL_REVIEW
SOLSEM-4B7DD35EDC5C	2	16	8	b7fd8aff20bcc8c0e5d63f3858bc6919f36631eb4899db7418422bc8a93bb123	IMP-DL-0A181AC273-P004	2	0.5369	0.4706	0.0663	NO	EDITORIAL_REVIEW
SOLSEM-510F83E5FDD3	2	14	5	04a4d2eba6b2b75dab5c0fa6cc2e09c9d098f633a4a304ee064b1c0a47cf5dc1	IMP-DL-9DE2876887-P002	2	0.5417	0.3534	0.1882	NO	EDITORIAL_REVIEW
SOLSEM-5110E28B6D24	2	16	7	053e9e0ffcaaadb30617727fa07fd52c96a580c3bec775825591687b52882690	IMP-DL-F77C60E8D1-P007	2	0.4512	0.3377	0.1136	NO	EDITORIAL_REVIEW
SOLSEM-59AC70264CDC	4	14	7	9a2bf2c983f4ab3d8d9db2e5a95d1d73bb2073e71e7db8c9e80283e3285e7677	IMP-DL-E1F1BB4192-P010	2	0.1560	0.0983	0.0576	NO	EDITORIAL_REVIEW
SOLSEM-5AAAE28620F2	4	28	8	5b274109062835a1bdf3cc827e9ecf7bb0d0d5039bf5cebc6e732df382fb1e08	IMP-DL-1068DBED71-P059	4	0.3418	0.2968	0.0450	NO	EDITORIAL_REVIEW
SOLSEM-6E826C9510F1	6	36	11	01a65ef054e5c205c68ae19f5a3e1d679fff7d8d918699852978f07fe084ea16	IMP-DL-3C59D9EE8B-P031	2	0.4215	0.3713	0.0503	NO	EDITORIAL_REVIEW
SOLSEM-7289CDF2AD18	2	16	8	3419ccce9e35e554f5a62aa1a58c12c4d318e946bab912c8febaca203befd431	IMP-DL-CB3C80FF97-P004	2	0.6031	0.5385	0.0646	NO	EDITORIAL_REVIEW
SOLSEM-75628998F7B0	2	12	6	c8fdc13cbb41cf0b774cc20689c95ffc2ce0e441c3965adbb9d208ff10a9d8e1	IMP-DL-11EDF39EA7-P010	2	0.6431	0.5900	0.0531	NO	EDITORIAL_REVIEW
SOLSEM-7723F82AC385	2	16	6	5988d53d7adda241be7f0d55908919e52ce9721f378a02807f4d1f7fdb2a11c0	IMP-DL-4A78994322-P001	2	0.3624	0.1724	0.1900	NO	EDITORIAL_REVIEW
SOLSEM-77DFFE6671A1	4	12	5	c2b8309dbf2eb6718e9b9a18bcd77289e8ac2d51a958f3a7c0e3a14962bed2a8	IMP-DL-1068DBED71-P031	4	0.3055	0.0589	0.2466	NO	EDITORIAL_REVIEW
SOLSEM-84D127DAD6CD	4	16	6	fbf4e59ebd2d29cf936934add276ed871d8d75cebb0e2768f2e29db37d8db6e6	IMP-DL-1068DBED71-P068	4	0.5316	0.3972	0.1343	NO	EDITORIAL_REVIEW
