chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
IV/27	1	prob:iv27-dossier-01	Lattices diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T02.SECTION	lattice|complex torus	lattices complex tori	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/27	2	prob:iv27-dossier-02	Fundamental parallelogram diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T02.EXERCISE_CHILDREN	descendant-of(lattice|complex torus)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/27	3	prob:iv27-dossier-03	Complex torus diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T02.THEORY_CHILDREN	descendant-of(lattice|complex torus)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/27	4	prob:iv27-dossier-04	Quotient projection diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	5	prob:iv27-dossier-05	Change of lattice basis diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	6	prob:iv27-dossier-06	Normalized modulus diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	7	prob:iv27-dossier-07	Modular equivalence diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	8	prob:iv27-dossier-08	Holomorphic differentials diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	9	prob:iv27-dossier-09	Complex structure on the quotient proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	10	prob:iv27-dossier-10	Compactness of the torus proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/27	11	prob:iv27-dossier-11	Basis-change invariance proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
