source_file	source_family	archive_action	archive_destination	canonical_source	reason	audit_status
Exercise_1_2_append--math-alls-2.tex	SUPPORT	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	NO	Preserve for provenance/diff only. Preferred comparison source: Exercise_1_2_append.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
commalg6_report_structure_template.tex	SUPPORT	ARCHIVE_TEMPLATE	ARCHIVE_TEMPLATE	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
commalg6_report_structure_template_1_.tex	SUPPORT	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	SUPPORT	Attach to the destination chapter; do not build as a standalone chapter.	CURATED_SUPPORT_MAP
interpolation--math-alls-2.tex	SUPPORT	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: interpolation.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
merged_exercises.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_FULL_v2_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_1_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_2_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_3_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_4_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_5_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_6_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_7_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_8_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
merged_exercises_corrected_9_.tex	MERGED_EXERCISES_LINEAGE	ARCHIVE_SOURCE_ONLY	ARCHIVE_SOURCE_ONLY	NO	Historical merged/corrected/full exercise snapshot. Recover exercises from canonical topic sources/support files; retain this file only for forensic diff/provenance.	ARCHIVE_CLASSIFIED
theory-of-algebraic-topology-1--math-alls-3.tex	ALGEBRAIC_TOPOLOGY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-algebraic-topology-1.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-algebraic-topology-2--math-alls-3.tex	ALGEBRAIC_TOPOLOGY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-algebraic-topology-2.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-FD--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-FD.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-FD2--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-FD2.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-II--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-II.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-functions--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-functions.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-functions-II--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-functions-II.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-topics--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-topics.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis-topology--math-alls-2.tex	ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis-topology.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-analysis_-_Copy.tex	ANALYSIS	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-analysis.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-commutative-algebra-15--math-alls-3.tex	COMMUTATIVE_ALGEBRA	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-commutative-algebra-15.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-commutative-algebra-7_-_Copy.tex	COMMUTATIVE_ALGEBRA	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-commutative-algebra-7.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-complex-analysis--math-alls-2.tex	COMPLEX_ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-complex-analysis.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-complex-analysis-gamma--math-alls-2.tex	COMPLEX_ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-complex-analysis-gamma.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-complex-analysis-maps--math-alls-2.tex	COMPLEX_ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-complex-analysis-maps.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-complex-analysis-next--math-alls-2.tex	COMPLEX_ANALYSIS	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-complex-analysis-next.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-differential-geometry-2--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-differential-geometry-2.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-differential-geometry-2--math-alls-3.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-differential-geometry-2.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-differential-geometry-MATH3D--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-differential-geometry-MATH3D.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-differential-geometry-MATH3D--math-alls-3.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-differential-geometry-MATH3D.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-1--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-1.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-2--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-2.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-3--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-3.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-4--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-4.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-III--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-III.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
theory-of-geometry-IV--math-alls-2.tex	DIFFERENTIAL_GEOMETRY	ARCHIVE_VARIANT	ARCHIVE_VARIANT	NO	Preserve for provenance/diff only. Preferred comparison source: theory-of-geometry-IV.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
vector_bundle_diagrams_snippet_1_.tex	SUPPORT	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	NO	Preserve for provenance/diff only. Preferred comparison source: vector_bundle_diagrams_snippet.tex. Migrate only if a repo-local diff proves unique mathematics.	ARCHIVE_CLASSIFIED
