source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-analysis-FD.tex	ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Fourier series|trigonometric series	Fourier series	III/09	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii09-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Fourier series|trigonometric series)	problem|exercise|solution|worked problem	III/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii09-dossier-02
theory-of-analysis-FD.tex	ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Fourier series|trigonometric series)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii09-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	III/09	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-analysis-FD.tex	ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	convolution|approximate identity	convolution	III/10	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii10-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(convolution|approximate identity)	problem|exercise|solution|worked problem	III/10	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii10-dossier-02
theory-of-analysis-FD.tex	ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(convolution|approximate identity)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/10	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii10-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	Fourier transform	Fourier transform	III/11	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Fourier transform)	problem|exercise|solution|worked problem	III/11	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Fourier transform)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/11	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-04
theory-of-analysis-FD2.tex	ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Fourier transform	Fourier transform	III/11	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-02
theory-of-analysis-FD2.tex	ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Fourier transform)	problem|exercise|solution|worked problem	III/11	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-05
theory-of-analysis-FD2.tex	ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Fourier transform)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/11	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii11-dossier-06
theory-of-analysis-FD2.tex	ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	III/11	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-analysis-FD.tex	ANALYSIS	T04.SECTION	SECTION_OR_SUBSECTION	Gaussian|heat kernel transform	Gaussian transform	III/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii12-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Gaussian|heat kernel transform)	problem|exercise|solution|worked problem	III/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii12-dossier-02
theory-of-analysis-FD.tex	ANALYSIS	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Gaussian|heat kernel transform)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii12-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	T05.SECTION	SECTION_OR_SUBSECTION	Plancherel|Parseval	Plancherel	III/13	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Plancherel|Parseval)	problem|exercise|solution|worked problem	III/13	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Plancherel|Parseval)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/13	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-04
theory-of-analysis-FD2.tex	ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	Plancherel|Parseval	Plancherel	III/13	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-02
theory-of-analysis-FD2.tex	ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Plancherel|Parseval)	problem|exercise|solution|worked problem	III/13	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-05
theory-of-analysis-FD2.tex	ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Plancherel|Parseval)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/13	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii13-dossier-06
theory-of-analysis-FD.tex	ANALYSIS	T06.SECTION	SECTION_OR_SUBSECTION	Schwartz	Schwartz space	III/14	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii14-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Schwartz)	problem|exercise|solution|worked problem	III/14	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii14-dossier-02
theory-of-analysis-FD.tex	ANALYSIS	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Schwartz)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/14	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii14-dossier-03
theory-of-analysis-functions-II.tex	ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	test function|compact support|\mathcal D|\mathcal E	test function spaces	III/15	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii15-dossier-01
theory-of-analysis-functions-II.tex	ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(test function|compact support|\mathcal D|\mathcal E)	problem|exercise|solution|worked problem	III/15	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii15-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(test function|compact support|\mathcal D|\mathcal E)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/15	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii15-dossier-03
theory-of-analysis-functions-II.tex	ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	III/15	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
