source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	action	precedence	audit_status	source_exists	source_resolved_path	destination_class	canonical_path	canonical_exists	chapter_status	next_action	global_disposition
commalg6_report_structure_template.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	entire file	report structure template	ARCHIVE_TEMPLATE	ARCHIVE_TEMPLATE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/commalg6_report_structure_template.tex	ARCHIVE					ARCHIVE_ACCOUNTED
commalg6_report_structure_template.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	ARCHIVE_TEMPLATE	ARCHIVE_TEMPLATE	10	COVERED_BY_FALLBACK	YES	chapters/tex/commalg6_report_structure_template.tex	ARCHIVE					ARCHIVE_ACCOUNTED
commalg6_report_structure_template_1_.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	entire file	report structure template copy	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/commalg6_report_structure_template_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
commalg6_report_structure_template_1_.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	10	COVERED_BY_FALLBACK	YES	chapters/tex/commalg6_report_structure_template_1_.tex	ARCHIVE					ARCHIVE_ACCOUNTED
diagrams_01-13_tikz.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Problem 1|Problem 2|Problem 3|Problem 4|Problem 5|Problem 6	Problems 1-6 complex-plane diagrams	IV/01	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/diagrams_01-13_tikz.tex	CANONICAL_CHAPTER	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
diagrams_01-13_tikz.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Problem 7|Problem 8|Problem 9|Problem 10|Problem 11|Problem 12|Problem 13	Problems 7-13 vector/geometry diagrams	I/01	SUPPORT_FIGURE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/diagrams_01-13_tikz.tex	CANONICAL_CHAPTER	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
diagrams_01-13_tikz.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	IV/01	SUPPORT_FIGURE	10	COVERED_BY_FALLBACK	YES	chapters/tex/diagrams_01-13_tikz.tex	CANONICAL_CHAPTER	books/vol04_complex_analysis/chapters/ch01_complex_differentiability/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
ex38g_ex39.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Takagi|Exercise 38|Exercise 39	Takagi/pathological function exercise	II/15	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/ex38g_ex39.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
ex38g_ex39.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/15	MIGRATE_EXERCISE	10	COVERED_BY_FALLBACK	YES	chapters/tex/ex38g_ex39.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
ex3_8_takagi.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Takagi|nowhere differentiable	Takagi function exercise	II/15	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/ex3_8_takagi.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
ex3_8_takagi.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	II/15	MIGRATE_EXERCISE	10	COVERED_BY_FALLBACK	YES	chapters/tex/ex3_8_takagi.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch15_pathological_and_nowhere_differentiable_functions/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
Exercise_1_2_append--math-alls-2.tex	SUPPORT	ARCHIVE.ALL	ENTIRE_FILE	*	all blocks	ARCHIVE_DUPLICATE	ARCHIVE_DUPLICATE	1000	ARCHIVE_CLASSIFIED	YES	chapters/tex/Exercise_1_2_append--math-alls-2.tex	ARCHIVE					ARCHIVE_ACCOUNTED
Exercise_1_2_append.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	subsection* Exercise 1.2|periodic Green	Exercise 1.2 periodic Green function	III/26	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/Exercise_1_2_append.tex	CANONICAL_CHAPTER	books/vol03_fourier_distributions_pde/chapters/ch26_sturm_liouville_green_kernels/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
Exercise_1_2_append.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	III/26	MIGRATE_EXERCISE	10	COVERED_BY_FALLBACK	YES	chapters/tex/Exercise_1_2_append.tex	CANONICAL_CHAPTER	books/vol03_fourier_distributions_pde/chapters/ch26_sturm_liouville_green_kernels/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
exercise_4_solutions_1_.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Definitions and Examples|Supremum|Infimum	supremum/infimum definitions	II/01	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/exercise_4_solutions_1_.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
exercise_4_solutions_1_.tex	SUPPORT	S02	SUPPORT_OR_EXERCISE	Partitions|Upper and Lower Sums|Integrability	Riemann upper/lower sums	II/10	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/exercise_4_solutions_1_.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
exercise_4_solutions_1_.tex	SUPPORT	S03	SUPPORT_OR_EXERCISE	Exercise 4.1	Exercise 4.1	II/01	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/exercise_4_solutions_1_.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch01_the_real_number_system_and_completeness/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
exercise_4_solutions_1_.tex	SUPPORT	S04	SUPPORT_OR_EXERCISE	Exercise 4.2|Exercise 4.3|Exercise 4.4	Exercises 4.2-4.4	II/10	MIGRATE_EXERCISE	100	CURATED_SUPPORT_MAP	YES	chapters/tex/exercise_4_solutions_1_.tex	CANONICAL_CHAPTER	books/vol02_real_analysis/chapters/ch10_riemann_integration/chapter.tex	YES	FROZEN	COMPLETE	SUPPORT_ONLY
