volume	chapter_code	chapter_title	status	legacy_source_status	mapped_rule_count	canonical_path	next_action
I	I/01	Scalars, Vectors and Linear Combinations	PLANNED	LEGACY_SOURCE_IDENTIFIED	9	books/vol01_linear_algebra/chapters/ch01_scalars_vectors_and_linear_combinations/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/02	Subspaces, Span and Linear Independence	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch02_subspaces_span_and_linear_independence/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/03	Bases and Dimension	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch03_bases_and_dimension/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/04	Coordinates and Change of Basis	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch04_coordinates_and_change_of_basis/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/05	Linear Transformations	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch05_linear_transformations/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/06	Kernels, Images and Isomorphisms	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch06_kernels_images_and_isomorphisms/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/07	Matrix Representation of Linear Maps	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch07_matrix_representation_of_linear_maps/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/08	Determinants and Trace	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch08_determinants_and_trace/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/09	Eigenvalues and Eigenvectors	PLANNED	LEGACY_SOURCE_IDENTIFIED	4	books/vol01_linear_algebra/chapters/ch09_eigenvalues_and_eigenvectors/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/10	Invariant Subspaces and Triangularization	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch10_invariant_subspaces_and_triangularization/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/11	Diagonalization and Minimal Polynomials	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch11_diagonalization_and_minimal_polynomials/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/12	Canonical Forms	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch12_canonical_forms/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/13	Inner Products and Orthogonality	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch13_inner_products_and_orthogonality/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/14	Gram–Schmidt and Orthogonal Projection	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch14_gram_schmidt_and_orthogonal_projection/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/15	Orthogonal and Unitary Operators	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch15_orthogonal_and_unitary_operators/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
I	I/16	The Spectral Theorem	PLANNED	LEGACY_SOURCE_IDENTIFIED	3	books/vol01_linear_algebra/chapters/ch16_the_spectral_theorem/chapter.tex	RECONSTRUCT_CANONICAL_CHAPTER
